Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.5469687,1,1.093937,0.2734843,0
Number Invariant Sites Excluding Ambiguous,0.5949367,0.6449034,1.189873,0.4750167,0
Max Invariant Block Length,0.5469687,1,1.093937,0.2734843,0
Max Invariant Block Length Excluding Ambiguous,0.7061959,0.643571,1.287142,0.5313125,0
Max Pairwise Difference,1,0.01932045,0.03864091,0.9903398,2.270591
Max Pairwise Difference Excluding Ambiguous,0.952032,0.2098601,0.4197202,0.8710859,1.404492
Max Variable Block Length,1,0.5469687,1.093937,0.7265157,0
Max Variable Block Length Excluding Ambiguous,0.6442372,0.6688874,1.288474,0.4876749,0
Min Pairwise Difference,0.9866755,1,1.973351,0.4933378,0
Min Pairwise Difference Excluding Ambiguous,0.9746835,1,1.949367,0.4873418,0
Number Invariable Block,0.5469687,1,1.093937,0.2734843,0
Number Invariable Block Excluding Ambiguous,0.42505,0.9147235,0.8500999,0.2551632,0.9406131
Segregating-Sites,1,0.5469687,1.093937,0.7265157,0
Theta,1,0.5469687,1.093937,0.7265157,0
Tajima-D,0.8254497,0.1752165,0.350433,0.8251166,0.8575763
Tajima-Pi,0.8827448,0.1185876,0.2371752,0.8820786,1.035623
