Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4097268,0.8047968,0.8194537,0.302465,0.5487429
Number Invariant Sites Excluding Ambiguous,0.5649567,0.5436376,1.087275,0.5106596,0
Max Invariant Block Length,0.6775483,0.958028,1.355097,0.3597602,0
Max Invariant Block Length Excluding Ambiguous,0.6515656,0.4976682,0.9953364,0.5769487,0.3577538
Max Pairwise Difference,0.6815456,0.4523651,0.9047302,0.6145903,0.4020561
Max Pairwise Difference Excluding Ambiguous,0.8401066,0.3111259,0.6222518,0.7644903,0.5056696
Max Variable Block Length,0.9047302,0.1499001,0.2998001,0.8774151,1.158584
Max Variable Block Length Excluding Ambiguous,0.5309793,0.7328448,1.061959,0.3990673,0
Min Pairwise Difference,0.8940706,0.4763491,0.9526982,0.7088608,1.393059
Min Pairwise Difference Excluding Ambiguous,0.7288474,0.4270486,0.8540973,0.6508994,0.498
Number Invariable Block,0.4963358,0.7781479,0.9926716,0.3590939,0.6717926
Number Invariable Block Excluding Ambiguous,0.8101266,0.389074,0.7781479,0.7105263,0.6241933
Segregating-Sites,0.8047968,0.4097268,0.8194537,0.697535,0.5487429
Theta,0.8047968,0.4097268,0.8194537,0.697535,0.5487449
Tajima-D,0.5936043,0.4117255,0.823451,0.5909394,0.2289496
Tajima-Pi,0.6242505,0.3964024,0.7928048,0.6139241,0.36033
