Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.413058,0.8047968,0.8261159,0.3041306,0.5414249
Number Invariant Sites Excluding Ambiguous,0.5862758,0.5336442,1.067288,0.5263158,0
Max Invariant Block Length,0.6768821,0.9413724,1.353764,0.3677548,0
Max Invariant Block Length Excluding Ambiguous,0.6475683,0.4903398,0.9806795,0.5786143,0.3543346
Max Pairwise Difference,0.7115256,0.4283811,0.8567622,0.6415723,0.3932212
Max Pairwise Difference Excluding Ambiguous,0.8514324,0.3031312,0.6062625,0.7741506,0.5151142
Max Variable Block Length,0.8934044,0.164557,0.3291139,0.8644237,1.097146
Max Variable Block Length Excluding Ambiguous,0.5529647,0.7488341,1.105929,0.4020653,0
Min Pairwise Difference,0.9180546,0.3770819,0.7541639,0.7704863,1.503517
Min Pairwise Difference Excluding Ambiguous,0.8041306,0.3397735,0.679547,0.7321785,0.4935925
Number Invariable Block,0.4836775,0.7761492,0.9673551,0.3537642,0.657069
Number Invariable Block Excluding Ambiguous,0.8127915,0.3824117,0.7648235,0.7151899,0.5994411
Segregating-Sites,0.8047968,0.413058,0.8261159,0.6958694,0.5414249
Theta,0.8047968,0.413058,0.8261159,0.6958694,0.5414269
Tajima-D,0.6022652,0.4037308,0.8074617,0.5992672,0.2438997
Tajima-Pi,0.6449034,0.3810793,0.7621586,0.6319121,0.3555969
