Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.3584277,0.8467688,0.7168554,0.2558294,0.5161812
Number Invariant Sites Excluding Ambiguous,0.5236509,0.5856096,1.047302,0.4690207,0
Max Invariant Block Length,0.6215856,0.9680213,1.243171,0.3267821,0
Max Invariant Block Length Excluding Ambiguous,0.6942039,0.4403731,0.8807462,0.6269154,0.3502904
Max Pairwise Difference,0.8807462,0.2231845,0.4463691,0.8287808,0.9386935
Max Pairwise Difference Excluding Ambiguous,0.91006,0.2111925,0.4223851,0.8494337,1.04023
Max Variable Block Length,0.9227182,0.1205863,0.2411726,0.901066,1.156274
Max Variable Block Length Excluding Ambiguous,0.6282478,0.6988674,1.256496,0.4646902,0
Min Pairwise Difference,0.9680213,1,1.936043,0.4840107,0
Min Pairwise Difference Excluding Ambiguous,0.8794137,1,1.758827,0.4397069,0
Number Invariable Block,0.437042,0.8161226,0.8740839,0.3104597,0.6264049
Number Invariable Block Excluding Ambiguous,0.7475017,0.479014,0.958028,0.6342438,0.599075
Segregating-Sites,0.8467688,0.3584277,0.7168554,0.7441706,0.5161812
Theta,0.8467688,0.3584277,0.7168554,0.7441706,0.5161813
Tajima-D,0.8141239,0.188541,0.3770819,0.8127915,0.9166252
Tajima-Pi,0.8461026,0.1625583,0.3251166,0.8417722,1.050994
