Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.3111259,1,0.6222518,0.155563,0.7870571
Number Invariant Sites Excluding Ambiguous,0.003997335,0.9980013,0.00799467,0.002998001,2.12381
Max Invariant Block Length,0.8694204,1,1.738841,0.4347102,0
Max Invariant Block Length Excluding Ambiguous,0.4143904,0.9480346,0.8287808,0.2331779,0.9541629
Max Pairwise Difference,0.9966689,0.01798801,0.03597602,0.9893404,2.142525
Max Pairwise Difference Excluding Ambiguous,1,0.02731512,0.05463025,0.9863424,1.690722
Max Variable Block Length,1,0,0,1,3.32798
Max Variable Block Length Excluding Ambiguous,0.9853431,0.1738841,0.3477682,0.9057295,1.476935
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9986676,1,1.997335,0.4993338,0
Number Invariable Block,0.3344437,1,0.6688874,0.1672219,0.8813865
Number Invariable Block Excluding Ambiguous,0.003997335,0.9993338,0.00799467,0.002331779,2.396945
Segregating-Sites,1,0.3111259,0.6222518,0.844437,0.7870571
Theta,0.6888741,0.3111259,0.6222518,0.6888741,0.5143398
Tajima-D,0.9920053,0.00799467,0.01598934,0.9920053,2.207022
Tajima-Pi,0.9946702,0.00532978,0.01065956,0.9946702,2.292341
