Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-252.4526	-247.9891	-4.463474	1.125666	0.150007	0.339006	0.0861545	0.0363675	0.16337	0.793091	0.0042429	0.71379	0.217777	0.667793	0.720835	1.37101	0.313369	0.135986	0.12862	0.391193	0.4063287	0.1665974	0.0306096	0.112928	0.226853	0.0353445	0.0362232	0.0357398	0.0123987	0.0142453	0.1529	0.115858	0.112463	0.0471078	0.0303291	0.0327741	0.00422604	0.07857572	6.72595	0.161324	0.511519	1.01806	2.3091	0.210168	0.233104	0.135329	0.137989	0.157469	0.125942	0.2451731	0.3204907
11	0	-240.8068	-248.0207	7.213913	3.878683	0.131417	0.0658693	0.0879883	0.0781044	0.0794987	0.591495	0.102919	0.516988	0.245544	0.152926	0.087136	0.0854285	0.0484076	0.163295	0.0530683	0.00707357	0.193507	0.06977853	0.115415	0.0803351	0.00647009	0.0374622	0.0412794	0.158012	0.0113192	0.036278	0.00772089	0.0990125	0.0363405	0.00228931	0.303369	0.0328152	0.0318822	0.05189751	12.02359	0.447571	0.770907	1.0844	1.69712	0.156398	0.21068	0.0990509	0.152985	0.175994	0.204892	0.121676	0.426522
12	0	-216.6457	-244.9775	28.33184	1.867422	0.00142957	0.0153806	0.00859485	0.006918	0.0263423	0.0433982	0.0160121	0.0193209	0.0117433	0.031253	0.00329613	0.0642973	0.015116	0.0262374	0.0193459	0.00338701	0.02806445	0.01748025	0.0437194	0.014575	0.0539375	0.0867223	0.0115383	0.0293206	0.0320906	0.0269689	0.0291297	0.123691	0.00963035	0.0254124	0.423941	0.0464804	0.0428422	0.001279738	131.0868	0.276918	0.640132	1.06629	2.01666	0.240504	0.243743	0.139729	0.0813229	0.154384	0.140318	0.01875999	0.06821636
13	0	-233.7709	-245.7744	12.00346	1.824419	0.0164043	0.0265758	0.0314354	0.28415	0.0856874	0.113884	0.0469598	0.0698477	0.0533144	0.0807797	0.29564	0.121006	0.0339179	0.0157405	0.268022	0.0331934	0.1398061	0.02966357	0.0499423	0.0785363	0.0355978	0.00343759	0.00311119	0.305885	0.0683485	0.0586361	0.00368746	0.0244546	0.0500937	0.000868569	0.222141	0.0420065	0.0532531	0.02091097	19.66935	0.271375	0.634942	1.0649	2.02878	0.183117	0.265972	0.091527	0.0786865	0.20259	0.178107	0.05057454	0.4134683
14	0	-242.0279	-249.302	7.274082	2.60883	0.0494347	0.352109	0.0580767	0.14843	0.0786578	0.0622827	0.181953	0.499747	0.0179431	0.150775	0.175636	0.197584	0.00158504	0.120104	0.0161945	0.0141939	0.1263615	0.0429343	0.0280706	0.189909	0.0476669	0.0562442	0.0183878	0.00459395	0.0363439	0.0447703	0.0643131	0.0669862	0.0150195	0.00421432	0.225006	0.00284849	0.195626	0.05124074	22.21228	0.356538	0.707279	1.07976	1.85642	0.222605	0.271198	0.094145	0.0868095	0.185853	0.139389	0.09417505	0.544101
15	0	-227.0222	-244.4705	17.44825	2.048711	0.0170574	0.047729	0.000859195	0.0284369	0.226969	0.136493	0.00314001	0.0242234	0.00147133	0.0156352	0.033383	0.0479289	0.0287407	0.0442941	0.0306682	0.163535	0.07958568	0.01819476	0.0363848	0.036042	0.105239	0.0275169	0.00534383	0.0150678	0.0936712	0.0256647	0.042307	0.00897903	0.0217098	0.103851	0.238567	0.0991478	0.140508	0.0325673	41.72294	0.299021	0.660095	1.07116	1.96972	0.233554	0.231937	0.143509	0.0787686	0.198313	0.113919	0.05076206	0.6415678
16	0	-234.0218	-244.86	10.83828	1.388906	0.0984116	0.113503	0.241966	0.0348763	0.0028042	0.10154	0.013832	0.130682	0.027513	0.0630898	0.0737909	0.0289189	0.00374444	0.212685	0.00356993	0.212636	0.06824389	0.009936113	0.0562141	0.0312459	0.143142	0.0286467	0.0277947	0.0840809	0.130242	0.00837975	0.0655616	0.0118991	0.021622	0.0574782	0.209349	0.105986	0.0183584	0.02147024	47.9963	0.207639	0.568956	1.04317	2.18023	0.237793	0.251206	0.102589	0.114513	0.142168	0.151731	0.03140635	0.6836273
17	0	-252.6696	-254.8281	2.158523	1.187826	0.0647953	0.170019	0.114433	0.13601	0.300084	0.13658	0.0435719	0.12309	0.0407645	0.0137258	0.00648439	0.746078	0.14525	0.107695	0.337333	0.525922	0.1742283	0.05586353	0.0179304	0.016198	0.107502	0.0276932	0.0164029	0.00552538	0.026728	0.0590439	0.0614624	0.0568562	0.20106	0.178893	0.0618513	0.0196075	0.143245	0.002428368	31.56482	0.17284	0.526745	1.02528	2.27513	0.366591	0.160697	0.0877372	0.112562	0.150084	0.122329	0.0582919	0.04165876
18	0	-228.9245	-245.8592	16.93467	2.24341	0.0440641	0.0333684	0.0733277	0.0819428	0.0221481	0.0144855	0.0946076	0.238752	0.0259844	0.061573	0.355003	0.14408	0.154821	0.131484	0.00332325	0.0213837	0.1079221	0.07921971	0.0224563	0.168967	0.0290556	0.033675	0.0119334	0.00607053	0.144579	0.0215931	0.0658407	0.110995	0.0492539	0.0686252	0.0829043	0.168484	0.0155662	0.04883924	11.40759	0.320697	0.67863	1.07504	1.92564	0.30309	0.260157	0.0997657	0.0633188	0.106481	0.167188	0.1280589	0.3813809
19	0	-223.0696	-251.0793	28.00963	1.656008	0.0141087	0.0755944	0.000112929	0.0673268	0.0202995	0.0445177	0.0690756	0.0129197	0.0098365	0.029703	0.0173513	0.0216507	0.0112695	0.0491279	0.00348567	0.0592749	0.04698992	0.03664597	0.0184758	0.107661	0.0999368	0.0728783	0.0271739	0.0567345	0.0148585	0.0877699	0.0879902	0.100453	0.0207158	0.03202	0.149867	0.0377936	0.0856724	0.00246829	45.56371	0.248448	0.61262	1.05841	2.08053	0.243012	0.278037	0.10134	0.0814571	0.134846	0.161308	0.03911426	0.06310461
20	0	-254.8131	-251.4567	-3.356384	1.798092	0.193758	0.0337361	0.0921604	0.123191	0.256099	0.159307	0.07027	0.227287	0.0981669	0.207302	0.328377	0.253286	0.343282	0.023341	0.0116002	0.0443834	0.1438495	0.02604276	0.019142	0.0446458	0.421357	0.189253	0.0627768	0.0328425	0.024725	0.00328581	0.0264154	0.00650953	0.0262374	0.00100376	0.0230987	0.116299	0.00240834	0.02398325	92.94899	0.267921	0.631669	1.06401	2.0364	0.28189	0.166354	0.0722579	0.175289	0.178915	0.125294	0.05002601	0.4794156
21	0	-247.6821	-254.2653	6.583224	1.705423	0.111186	0.00121733	0.0502245	0.42723	0.210178	0.403494	0.0816106	0.00442362	0.273248	0.0429161	0.358927	0.37981	0.0302629	0.225176	0.0533543	0.214037	0.1432435	0.09168129	0.0787896	0.0435682	0.129881	0.047131	0.0382215	0.0734234	0.0931808	0.0128532	0.0183325	0.104232	0.0046781	0.0456062	0.105937	0.146907	0.0572582	0.003810947	14.07712	0.255384	0.619525	1.06051	2.06458	0.167954	0.207516	0.173729	0.109414	0.19037	0.151016	0.09549223	0.03990845
22	0	-235.5582	-245.7837	10.22558	1.982625	0.207088	0.0707952	0.0249896	0.0562436	0.145528	0.21148	0.0854034	0.231281	0.0234852	0.415705	0.0940046	0.26256	0.0791782	0.0634072	0.216848	0.0368329	0.1254319	0.1374908	0.0677861	0.0734256	0.0504151	0.015071	0.0154331	0.00560666	0.056424	0.0585281	0.0794088	0.0526905	0.0391773	0.0237374	0.210629	0.228159	0.0235084	0.01304986	14.11625	0.291192	0.653153	1.06955	1.98611	0.248374	0.165273	0.144077	0.107912	0.150742	0.183622	0.1505406	0.08668663
23	0	-230.8994	-244.5476	13.64819	1.87735	0.0187295	0.054307	0.0228217	0.399776	0.0192434	0.0406461	0.0729122	0.320095	0.000641836	0.0140027	0.0793584	0.101052	0.0964198	0.0266021	0.000729289	0.058963	0.08340309	0.0779292	0.0450636	0.113299	0.118333	0.0692845	0.0241052	0.0101339	0.00182422	0.0241876	0.0597581	0.104238	0.122507	0.00546939	0.098759	0.202806	0.000230604	0.005672224	37.12219	0.278181	0.641304	1.06659	2.01392	0.224942	0.243052	0.124959	0.136526	0.174135	0.0963853	0.08360142	0.06784842
24	0	-217.025	-246.2315	29.20658	4.131536	0.0211987	0.00425802	0.000620328	0.0165961	0.0325521	0.0301092	0.00108734	0.0438184	0.00775788	0.0250748	0.00017122	0.0157112	0.0562027	0.0553116	0.0277601	0.013785	0.02008611	0.0172704	0.010164	0.0175997	0.100172	0.0260088	0.0509794	0.0656409	0.06411	0.0243756	0.0853869	0.12861	0.14254	0.00124248	0.232612	1.18705e-05	0.0505459	0.004592957	48.43165	0.461445	0.779638	1.08436	1.67456	0.298191	0.241993	0.117162	0.0985048	0.159832	0.0843172	0.02186335	0.2100756
25	0	-232.1529	-249.573	17.42016	1.08597	0.0323852	0.0594017	0.0144646	0.308175	0.0643455	0.23179	0.092714	0.0796521	0.0101168	0.0334307	0.129523	0.00581122	0.0387251	0.0779005	0.00409255	0.0146275	0.1110176	0.04549478	0.0090831	0.153751	0.0703156	0.027147	0.00184074	0.0840118	0.0124247	0.0541192	0.0027793	0.0545895	0.168728	0.120073	0.164285	0.0369112	0.0399398	0.000980352	27.96502	0.153781	0.50115	1.0129	2.33217	0.20563	0.219878	0.136822	0.0720817	0.200259	0.165329	0.04647514	0.02109412
26	0	-226.568	-252.0678	25.49982	1.986522	0.00380384	0.0413607	0.0343088	0.0214308	0.000279259	0.118223	0.020288	0.126574	0.000943071	0.0227296	0.0287282	0.0177476	0.060506	0.00608998	0.025145	0.0103008	0.03940875	0.04727241	0.0320162	0.0891477	0.0424195	0.0509225	0.0105078	0.105894	0.0145087	0.0587518	0.045869	0.046537	0.0464623	0.0759411	0.0175505	0.133638	0.229833	0.002104095	60.29117	0.291661	0.653573	1.06965	1.98512	0.250032	0.208127	0.161444	0.0946652	0.149531	0.1362	0.0493765	0.04261328
27	0	-233.4041	-246.4603	13.05622	1.665899	0.00604023	0.00323699	0.0111729	0.0618038	0.0435894	0.0207475	0.171944	0.0982207	0.00184621	0.015616	0.369841	0.0301066	0.0377737	0.0751249	0.0365094	0.0141042	0.06931182	0.009146021	0.00527136	0.167808	0.083714	0.0283886	0.0102059	0.0278468	0.00832355	0.0676918	0.094602	0.0250717	0.0955074	0.0567744	0.194658	0.0835108	0.0506256	0.02381909	75.51151	0.249851	0.614027	1.05884	2.07728	0.249434	0.257819	0.0802953	0.130888	0.179713	0.101851	0.03296511	0.7225545
28	0	-227.0786	-248.7249	21.64626	1.139194	0.00505245	0.0174607	0.00601464	0.0495713	0.018477	0.159254	0.0650846	0.0412371	0.00154109	0.0758024	0.0797659	0.00599124	0.00787074	0.0682358	0.0160669	0.05271	0.03862172	0.03072977	0.0821552	0.129621	0.0441307	0.0304847	0.00763751	0.00943494	0.123631	0.0097511	0.0399664	0.0426071	0.0653581	0.00231999	0.383994	0.0135074	0.015401	0.01733457	60.67903	0.163861	0.514934	1.01971	2.30149	0.150705	0.20735	0.119677	0.0954629	0.132655	0.29415	0.04806434	0.3606534
29	0	-249.72	-248.0239	-1.696133	1.119144	0.0637867	0.062832	0.010766	0.744821	0.00181403	0.0491202	0.403391	1.16014	0.138596	0.513158	0.0708503	0.494265	0.688944	0.219454	0.27157	0.139185	0.3318686	0.1837209	0.0101074	0.123406	0.0744078	2.53313e-05	0.00621327	0.0512186	0.024564	0.00125542	0.0488497	0.293032	0.0231078	0.0511808	0.261265	0.0174482	0.0139179	0.0477588	7.544933	0.160095	0.509851	1.01724	2.31281	0.197671	0.343363	0.105685	0.0418128	0.138399	0.17307	0.2314797	0.2063196
30	0	-213.6603	-247.7287	34.06841	2.169436	0.0141286	0.0114515	0.00605598	0.00923155	0.0233526	0.0173597	0.0173268	0.0276543	0.0233563	0.00989981	0.00821525	0.0247666	0.0173295	0.00344121	0.000755338	0.00932508	0.01653678	0.003754886	0.0528837	0.0993341	0.265961	0.0693817	0.00347068	0.0523889	0.0173926	0.0180776	0.00250099	0.0486295	0.00428341	0.0793248	0.109921	0.120337	0.0561133	0.01440062	100.7006	0.312695	0.671901	1.0737	1.9417	0.230345	0.217986	0.113719	0.0857765	0.191717	0.160456	0.01815551	0.793182
31	0	-230.5307	-243.6256	13.09489	4.769964	0.0558182	0.117618	0.0299174	0.0326899	0.0687586	0.108854	0.0896273	0.0575072	0.0122612	0.0388811	0.0796076	0.10047	0.0905866	0.0581773	0.0024577	0.0658412	0.08617836	0.04778393	0.0222982	0.360633	0.0971288	0.0135331	0.00385829	0.0435807	0.138652	0.0231129	0.0258584	0.000778779	0.0184897	0.00315759	0.169895	0.0413763	0.0376468	0.0452736	29.87611	0.492234	0.798231	1.08368	1.62586	0.230095	0.181241	0.0789491	0.127261	0.143157	0.239298	0.09305752	0.486512
32	0	-223.1628	-245.9181	22.7553	2.576179	4.38335e-05	0.14193	0.0103828	0.0145676	0.0457905	0.0502227	0.0108628	0.018145	0.000755483	0.0247365	0.0460844	0.0351849	0.011964	0.0257779	0.053061	0.0187863	0.03691396	0.03050017	0.0465078	0.215563	0.0950609	0.0275006	0.0409357	0.00810845	0.0858915	0.00696247	0.0989707	0.0141702	0.0815966	0.0367897	0.217207	0.0160395	0.00869551	0.009912862	76.54015	0.353562	0.704987	1.07944	1.86201	0.247424	0.254688	0.137716	0.0569522	0.154392	0.148828	0.04041303	0.2452888
33	0	-240.3378	-247.7346	7.39684	4.069102	0.101676	0.102561	0.0538994	0.150619	0.405689	0.245378	0.0240683	0.0557144	5.35737e-05	0.0536533	0.287255	0.202022	0.031156	0.00191421	0.00399535	0.0176594	0.1390564	0.06022535	0.0222767	0.0916878	0.16366	0.0277841	0.00177489	0.075888	0.136191	0.0227296	0.0232813	0.00776588	0.0464203	0.0566483	0.182334	0.113129	0.0284289	0.0825571	22.17386	0.458118	0.777565	1.08438	1.67993	0.281256	0.159375	0.160463	0.0891136	0.166194	0.143599	0.1427824	0.578202
34	0	-242.5427	-251.7974	9.254627	2.968704	0.0317408	0.0343203	0.00803648	0.0891414	0.0490626	0.70152	0.210992	0.306181	0.0224216	0.0467376	0.190248	0.55424	0.113171	0.208632	0.00423812	0.0558767	0.1397845	0.1345392	0.0370067	0.115287	0.198946	0.020445	0.0236549	0.056455	0.0525076	0.131301	0.0116468	0.0234157	0.174799	0.0123337	0.0621612	0.0525086	0.0275318	0.02522868	10.66546	0.386826	0.72978	1.08236	1.80104	0.206322	0.290551	0.099014	0.0771577	0.143409	0.183546	0.1597679	0.1579083
35	0	-229.7243	-245.015	15.29072	3.819691	0.0705043	0.0464813	0.0243999	0.0734165	0.119191	0.281391	0.233937	0.095715	0.0402496	0.0472394	0.147406	0.0921054	0.0621512	0.0675812	0.0147217	0.0877442	0.1162259	0.1481179	0.0360567	0.118386	0.145158	0.0208608	0.0361879	0.0139534	0.186005	0.0169317	0.0643334	0.0105137	0.0327426	0.0321715	0.0984434	0.0708537	0.117402	0.03881052	13.26777	0.444174	0.768734	1.08438	1.70271	0.193704	0.220871	0.143351	0.102747	0.169338	0.169989	0.1869284	0.2076223
36	0	-242.9574	-246.1933	3.235931	1.196156	0.0462663	0.0445194	0.202693	0.187279	0.100423	0.319412	0.0230159	0.097139	0.00769301	0.247973	0.0156096	0.040821	0.0181787	0.122087	0.0390847	0.024818	0.1991213	-0.001389569	0.0138661	0.0713562	0.1513	0.0723012	0.080712	0.0564427	0.0578506	0.0360314	0.0329967	0.0306363	0.0111354	0.0272272	0.226792	0.0752279	0.0561241	0.05153003	67.63198	0.174356	0.528698	1.02618	2.27077	0.268019	0.196594	0.118094	0.0991887	0.18768	0.130424	0.05014046	1.027714
37	0	-223.7542	-248.352	24.59784	2.129171	0.00863367	0.0279984	0.0163801	0.0005114	0.0135289	0.010803	0.0148396	0.0544783	0.000258187	0.00632871	0.00788251	0.00930521	0.0108518	0.00763095	0.0021309	0.00651664	0.01631665	0.003592792	0.0661468	0.0224138	0.110455	0.0206095	0.0755274	0.0050212	0.0441369	0.0104732	0.0208831	0.0147225	0.0699432	0.214482	0.238603	0.0608714	0.0257114	0.03143397	456.3492	0.308221	0.668082	1.07291	1.95079	0.280168	0.190398	0.190507	0.0866216	0.15396	0.0983463	0.03502676	0.8974272
38	0	-229.9644	-250.9852	21.02074	1.567924	0.0149183	0.0156378	0.0238053	0.00921931	0.000949099	0.166863	0.04021	0.0408554	0.027182	0.00385698	0.0299585	0.0469173	0.0513755	0.000935929	0.0272477	0.00182135	0.02867175	0.02194427	0.0386372	0.148934	0.0457674	0.0882498	0.00883721	0.0173528	0.100361	0.0301472	0.0493075	0.143331	0.140522	0.0260095	0.115617	0.0315969	0.0153309	0.01251563	106.5449	0.235627	0.599485	1.05417	2.11071	0.314655	0.215405	0.132561	0.0907095	0.0777147	0.168955	0.0344599	0.3631941
39	0	-255.6568	-257.1625	1.505701	1.920798	0.0321894	0.0510656	0.00532398	0.0542113	0.347727	0.0439262	0.193382	0.262912	0.000803811	0.699807	0.104413	0.0630236	0.105869	0.00131164	0.427367	0.0961539	0.1486865	0.05232101	0.0151863	0.184812	0.0124168	0.0082156	0.0065112	0.00780107	0.0814437	0.0576374	0.0423084	0.108957	0.150674	0.0124056	0.0069212	0.210074	0.0946356	0.00042826	35.55169	0.283633	0.646318	1.06788	2.00217	0.139804	0.271828	0.0762219	0.130107	0.143609	0.238431	0.05274927	0.008118786
40	0	-247.3186	-250.8016	3.482965	2.535885	0.183404	0.0537975	0.152734	0.323222	0.36146	0.332652	0.0194334	0.0413971	0.177271	0.334274	0.132995	0.299369	0.151879	0.0107783	0.144701	0.029716	0.2284485	0.1051928	0.0769179	0.0470679	0.0517189	0.021713	0.00353238	0.196351	0.0188398	0.0226703	0.00848247	0.0449127	0.0140654	0.141476	0.162093	0.120894	0.0692656	0.05306966	17.31674	0.349833	0.702094	1.07902	1.86905	0.180957	0.166382	0.109902	0.10335	0.289491	0.149918	0.1582625	0.3353269
41	0	-238.6212	-246.8068	8.185593	2.261489	0.044436	0.0854055	0.0312013	0.0252327	0.0602519	0.2434	0.043299	0.251817	0.363155	0.059063	0.0267528	0.149531	0.00382759	0.0639335	0.372265	0.279038	0.1190196	0.06294256	0.0392707	0.102026	0.175546	0.0324537	0.10957	0.016414	0.0375303	0.0112641	0.0203566	0.103645	0.12318	0.129686	0.0153907	0.0818379	0.00182899	0.06122776	19.78036	0.322611	0.680221	1.07534	1.92183	0.246883	0.237957	0.0959561	0.129121	0.141614	0.148469	0.1241703	0.4930949
42	0	-238.1232	-255.133	17.0098	2.176711	0.012019	0.137706	0.00858939	0.0542271	0.0230458	0.080581	0.0549004	0.114844	0.0387154	0.144437	0.0370727	0.009238	0.00693837	0.00173205	0.0538872	0.0315848	0.06513258	0.05188906	0.0494888	0.102572	0.0470814	0.00535273	0.0289379	0.0444632	0.173279	0.0097244	0.0944002	0.119688	0.0184413	0.0277062	0.164123	0.00747802	0.107265	0.06796235	43.86349	0.313494	0.672579	1.07384	1.94009	0.176144	0.215752	0.0942206	0.0885732	0.326001	0.099309	0.1198514	0.5670551
43	0	-229.2723	-247.2632	17.99091	1.643096	0.00330236	0.03933	0.0223494	0.155104	0.050089	0.0415429	0.281777	0.0715156	0.0711284	0.110587	0.084139	0.0219507	0.0208648	0.0470363	0.441207	0.104716	0.1028106	0.103454	0.0346109	0.13716	0.145286	0.0800349	0.00312882	0.029881	0.0486168	0.0385403	0.0503943	0.0905971	0.0941682	0.0368447	0.163122	0.0353159	0.0122988	3.600957e-05	15.55229	0.246606	0.610763	1.05783	2.08481	0.24228	0.242457	0.154507	0.131441	0.0850106	0.144304	0.10349	0.0003479521
44	0	-227.5121	-249.3756	21.86355	1.025727	0.0605056	0.00439027	0.0516642	0.023661	0.0221975	0.0709067	0.0107054	0.103803	0.00910788	0.285726	0.0100131	0.00315163	0.0347498	0.0272854	0.0130228	0.0726737	0.04340296	0.03093885	0.00516882	0.0525088	0.0434616	0.0382859	0.0142128	0.0301184	0.00197588	0.0194432	0.0905337	0.176727	0.220784	0.00342095	0.154808	0.148139	0.000412332	0.001592077	54.1837	0.142058	0.48435	1.00414	2.36946	0.15667	0.373534	0.105623	0.0918858	0.130389	0.141898	0.03253092	0.04894043
45	0	-226.8618	-243.4302	16.56841	3.489009	0.0158991	0.0157869	0.00905026	0.0594308	0.021549	0.16541	0.0787168	0.16991	0.0171118	0.295618	0.00262509	0.0474746	0.0200193	0.0446768	0.0179246	0.0473885	0.0393088	0.06937925	0.0741831	0.0891035	0.0177688	0.0174293	0.00148499	0.0421063	0.020989	0.171522	0.00524084	0.11847	0.0277242	0.0296988	0.142049	0.216583	0.0256472	0.00593054	25.32842	0.423879	0.755451	1.08406	1.73661	0.149832	0.24635	0.0804057	0.130579	0.166347	0.226487	0.07530979	0.07874859
