Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.8261159,0.5263158,1.052632,0.6499001,0
Number Invariant Sites Excluding Ambiguous,0.6755496,0.7221852,1.351099,0.4766822,0
Max Invariant Block Length,0.9693538,0.5263158,1.052632,0.721519,0
Max Invariant Block Length Excluding Ambiguous,0.8014657,1,1.602931,0.4007328,0
Max Pairwise Difference,1,0.0413058,0.08261159,0.9793471,2.134717
Max Pairwise Difference Excluding Ambiguous,0.9973351,0.02731512,0.05463025,0.98501,2.088512
Max Variable Block Length,0.5263158,0.6528981,1.052632,0.4367089,0
Max Variable Block Length Excluding Ambiguous,0.7221852,0.4390406,0.8780813,0.6415723,0.2559283
Min Pairwise Difference,0.4936709,0.7541639,0.9873418,0.3697535,0.6346561
Min Pairwise Difference Excluding Ambiguous,0.3937375,0.817455,0.787475,0.2881412,0.5484557
Number Invariable Block,0.8394404,0.5263158,1.052632,0.6565623,0
Number Invariable Block Excluding Ambiguous,0.7861426,0.7128581,1.425716,0.5366422,0
Segregating-Sites,0.5263158,0.8261159,1.052632,0.3500999,0
Theta,0.5263158,0.8261159,1.052632,0.3500999,0
Tajima-D,0.9267155,0.0739507,0.1479014,0.9263824,1.424529
Tajima-Pi,0.8914057,0.1119254,0.2238508,0.8897402,1.117154
