Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7520826,1,1.504165,0.3760413,0
Number Invariant Sites Excluding Ambiguous,0.7887371,0.2692436,0.5384872,0.7597468,0.7816035
Max Invariant Block Length,0.7520826,1,1.504165,0.3760413,0
Max Invariant Block Length Excluding Ambiguous,0.7544152,0.4565145,0.913029,0.6489503,0.4264809
Max Pairwise Difference,0.9980007,0.01166278,0.02332556,0.9931689,2.214245
Max Pairwise Difference Excluding Ambiguous,1,0.883039,1.766078,0.5584805,0
Max Variable Block Length,1,0.7520826,1.504165,0.6239587,0
Max Variable Block Length Excluding Ambiguous,0.9843386,0.02465845,0.04931689,0.9798401,2.386286
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.7627458,1,1.525492,0.3813729,0
Number Invariable Block,0.7520826,1,1.504165,0.3760413,0
Number Invariable Block Excluding Ambiguous,0.1129623,0.9493502,0.2259247,0.08180606,1.257349
Segregating-Sites,1,0.7520826,1.504165,0.6239587,0
Theta,1,0.7520826,1.504165,0.6239587,0
Tajima-D,0.7164279,0.284905,0.5698101,0.7157614,0.58024
Tajima-Pi,0.7260913,0.275908,0.5518161,0.7250916,0.6229432
