Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9623459,0.1102966,0.2205931,0.9260247,1.492492
Number Invariant Sites Excluding Ambiguous,0.3065645,0.844052,0.613129,0.2312562,0.8286324
Max Invariant Block Length,0.9913362,0.1119627,0.2239254,0.9396868,1.848205
Max Invariant Block Length Excluding Ambiguous,0.5084972,1,1.016994,0.2542486,0
Max Pairwise Difference,0.4155282,0.8077308,0.8310563,0.3038987,0.6490223
Max Pairwise Difference Excluding Ambiguous,1,0.004998334,0.009996668,0.9975008,2.640951
Max Variable Block Length,0.3128957,0.7154282,0.6257914,0.2987338,0.2654086
Max Variable Block Length Excluding Ambiguous,0.619127,0.5028324,1.005665,0.5581473,0
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.7484172,0.4485172,0.8970343,0.64995,0.5507183
Number Invariable Block,0.7767411,0.5101633,1.020327,0.6332889,0
Number Invariable Block Excluding Ambiguous,0.3875375,0.8673775,0.775075,0.26008,0.6871225
Segregating-Sites,0.1102966,0.9623459,0.2205931,0.07397534,1.492492
Theta,0.1102966,0.9623459,0.2205931,0.07397534,1.492482
Tajima-D,0.4921693,0.5078307,0.9843386,0.4921693,0.02049189
Tajima-Pi,0.311896,0.6904365,0.6237921,0.3107298,0.5057254
