Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9353764,0.3317788,0.6635576,0.8017988,1.49395
Number Invariant Sites Excluding Ambiguous,0.290473,0.8694204,0.580946,0.2105263,0.4860668
Max Invariant Block Length,0.9886742,0.3317788,0.6635576,0.8284477,1.984382
Max Invariant Block Length Excluding Ambiguous,0.4636909,0.9933378,0.9273817,0.2351765,1.57491
Max Pairwise Difference,1,0.006662225,0.01332445,0.9966689,2.42085
Max Pairwise Difference Excluding Ambiguous,1,0.06862092,0.1372418,0.9656895,1.483828
Max Variable Block Length,0.1572285,0.8627582,0.314457,0.1472352,1.730566
Max Variable Block Length Excluding Ambiguous,0.9007328,0.1099267,0.2198534,0.8954031,1.499846
Min Pairwise Difference,0.9993338,1,1.998668,0.4996669,0
Min Pairwise Difference Excluding Ambiguous,0.8787475,1,1.757495,0.4393738,0
Number Invariable Block,0.9420386,0.3317788,0.6635576,0.8051299,1.572568
Number Invariable Block Excluding Ambiguous,0.4237175,0.8194537,0.847435,0.3021319,0.6348139
Segregating-Sites,0.3317788,0.9353764,0.6635576,0.1982012,1.49395
Theta,0.3317788,0.9353764,0.6635576,0.1982012,1.493947
Tajima-D,0.9300466,0.07061959,0.1412392,0.9297135,1.395579
Tajima-Pi,0.91006,0.09060626,0.1812125,0.9097268,1.223834
