Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4143904,0.7961359,0.8287808,0.3091272,0.5295327
Number Invariant Sites Excluding Ambiguous,0.6429047,0.4390406,0.8780813,0.601932,0.2474651
Max Invariant Block Length,0.685543,0.9540306,1.371086,0.3657562,0
Max Invariant Block Length Excluding Ambiguous,0.7408394,0.3604264,0.7208528,0.6902065,0.3581108
Max Pairwise Difference,0.7781479,0.3484344,0.6968688,0.7148568,0.8211276
Max Pairwise Difference Excluding Ambiguous,0.8654231,0.2744837,0.5489674,0.7954697,1.016289
Max Variable Block Length,0.9047302,0.1445703,0.2891406,0.8800799,1.121937
Max Variable Block Length Excluding Ambiguous,0.5356429,0.7568288,1.071286,0.3894071,0
Min Pairwise Difference,0.9906729,1,1.981346,0.4953364,0
Min Pairwise Difference Excluding Ambiguous,0.9253831,1,1.850766,0.4626915,0
Number Invariable Block,0.4843438,0.7681546,0.9686875,0.3580946,0.6407556
Number Invariable Block Excluding Ambiguous,0.745503,0.4810127,0.9620253,0.6322452,0.5883111
Segregating-Sites,0.7961359,0.4143904,0.8287808,0.6908728,0.5295327
Theta,0.7961359,0.4143904,0.8287808,0.6908728,0.5295329
Tajima-D,0.7135243,0.2878081,0.5756163,0.7128581,0.543328
Tajima-Pi,0.739507,0.2631579,0.5263158,0.7381746,0.6464506
