Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9493671,0.1518987,0.3037975,0.8987342,1.655711
Number Invariant Sites Excluding Ambiguous,0.1518987,0.9253831,0.3037975,0.1132578,1.189374
Max Invariant Block Length,0.9953364,0.06329114,0.1265823,0.9660227,1.777741
Max Invariant Block Length Excluding Ambiguous,0.7894737,0.4983344,0.9966689,0.6455696,0.8880075
Max Pairwise Difference,0.9986676,0.01332445,0.0266489,0.9926716,2.719733
Max Pairwise Difference Excluding Ambiguous,1,0.04397069,0.08794137,0.9780147,1.675845
Max Variable Block Length,0.3930713,0.6828781,0.7861426,0.3550966,0.6474453
Max Variable Block Length Excluding Ambiguous,0.9267155,0.1112592,0.2225183,0.9077282,1.781296
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.7848101,0.3484344,0.6968688,0.7181879,0.7715072
Number Invariable Block,0.8734177,0.332445,0.6648901,0.7704863,0.8961366
Number Invariable Block Excluding Ambiguous,0.1545636,0.9487009,0.3091272,0.1029314,1.032773
Segregating-Sites,0.1518987,0.9493671,0.3037975,0.1012658,1.655711
Theta,0.1518987,0.9493671,0.3037975,0.1012658,1.655715
Tajima-D,0.988008,0.01199201,0.02398401,0.988008,1.994886
Tajima-Pi,0.9720187,0.03730846,0.07461692,0.9673551,1.591364
