Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7255163,0.6229181,1.245836,0.5512991,0
Number Invariant Sites Excluding Ambiguous,0.8394404,0.2371752,0.4743504,0.8011326,0.8710099
Max Invariant Block Length,0.9560293,0.6229181,1.245836,0.6665556,0
Max Invariant Block Length Excluding Ambiguous,0.733511,0.7261825,1.452365,0.5036642,0
Max Pairwise Difference,0.8994004,0.2898068,0.5796136,0.8047968,0.604332
Max Pairwise Difference Excluding Ambiguous,1,0.1219187,0.2438374,0.9390406,1.263691
Max Variable Block Length,0.6229181,0.4243837,0.8487675,0.5992672,0.6400206
Max Variable Block Length Excluding Ambiguous,0.1245836,0.9167222,0.2491672,0.1039307,1.385471
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9620253,1,1.924051,0.4810127,0
Number Invariable Block,0.7415057,0.6229181,1.245836,0.5592938,0
Number Invariable Block Excluding Ambiguous,0.9093937,0.1905396,0.3810793,0.859427,0.9365761
Segregating-Sites,0.6229181,0.7255163,1.245836,0.4487009,0
Theta,0.6229181,0.7255163,1.245836,0.4487009,0
Tajima-D,0.6329114,0.3670886,0.7341772,0.6329114,0.3447104
Tajima-Pi,0.6335776,0.3664224,0.7328448,0.6335776,0.3414066
