Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.356429,1,0.7128581,0.1782145,0.8415299
Number Invariant Sites Excluding Ambiguous,0.0006662225,1,0.001332445,0.0003331113,1.998626
Max Invariant Block Length,0.8827448,1,1.76549,0.4413724,0
Max Invariant Block Length Excluding Ambiguous,0.3704197,1,0.7408394,0.1852099,1.22013
Max Pairwise Difference,0.9966689,0.0146569,0.02931379,0.991006,2.494068
Max Pairwise Difference Excluding Ambiguous,1,0.02598268,0.05196536,0.9870087,1.720635
Max Variable Block Length,1,0,0,1,3.143546
Max Variable Block Length Excluding Ambiguous,1,0.224517,0.449034,0.8877415,1.044887
Min Pairwise Difference,0.7568288,1,1.513658,0.3784144,0
Min Pairwise Difference Excluding Ambiguous,0.5776149,0.5922718,1.15523,0.4926716,0
Number Invariable Block,0.3790806,1,0.7581612,0.1895403,0.9593444
Number Invariable Block Excluding Ambiguous,0.00532978,1,0.01065956,0.00266489,2.088937
Segregating-Sites,1,0.356429,0.7128581,0.8217855,0.8415299
Theta,0.2871419,0.7128581,0.5742838,0.2871419,0.1753977
Tajima-D,0.9840107,0.01598934,0.03197868,0.9840107,1.701903
Tajima-Pi,0.934044,0.06595603,0.1319121,0.934044,1.331283
