Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.679547,0.6875416,1.359094,0.4960027,0
Number Invariant Sites Excluding Ambiguous,0.8714191,0.1845436,0.3690873,0.8434377,1.244948
Max Invariant Block Length,0.9367089,0.6875416,1.375083,0.6245836,0
Max Invariant Block Length Excluding Ambiguous,0.6802132,1,1.360426,0.3401066,0
Max Pairwise Difference,0.8647568,0.3764157,0.7528314,0.7441706,0.6503703
Max Pairwise Difference Excluding Ambiguous,1,0.1165889,0.2331779,0.9417055,1.337611
Max Variable Block Length,0.6875416,0.3657562,0.7315123,0.6608927,1.329694
Max Variable Block Length Excluding Ambiguous,0.1372418,0.904064,0.2744837,0.1165889,1.607584
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.5083278,0.6955363,1.016656,0.4063957,0
Number Invariable Block,0.703531,0.6875416,1.375083,0.5079947,0
Number Invariable Block Excluding Ambiguous,0.9193871,0.1452365,0.290473,0.8870753,1.388413
Segregating-Sites,0.6875416,0.679547,1.359094,0.5039973,0
Theta,0.6875416,0.679547,1.359094,0.5039973,0
Tajima-D,0.5976016,0.4050633,0.8101266,0.5962692,0.2197415
Tajima-Pi,0.6042638,0.4017322,0.8034644,0.6012658,0.2141532
