Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.964024,0.2351765,0.4703531,0.8644237,1.818493
Number Invariant Sites Excluding Ambiguous,0.248501,0.9000666,0.497002,0.1742172,0.8781303
Max Invariant Block Length,0.994004,0.2351765,0.4703531,0.8794137,2.263798
Max Invariant Block Length Excluding Ambiguous,0.3431046,0.9946702,0.6862092,0.1742172,1.587067
Max Pairwise Difference,1,0.003997335,0.00799467,0.9980013,3.039058
Max Pairwise Difference Excluding Ambiguous,1,0.1592272,0.3184544,0.9203864,1.683427
Max Variable Block Length,0.1059294,0.9067288,0.2118588,0.09960027,1.904341
Max Variable Block Length Excluding Ambiguous,0.9213857,0.08860759,0.1772152,0.9163891,1.816626
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9287142,1,1.857428,0.4643571,0
Number Invariable Block,0.9666889,0.2351765,0.4703531,0.8657562,1.886337
Number Invariable Block Excluding Ambiguous,0.3924051,0.8314457,0.7848101,0.2804797,0.5875325
Segregating-Sites,0.2351765,0.964024,0.4703531,0.1355763,1.818493
Theta,0.2351765,0.964024,0.4703531,0.1355763,1.81849
Tajima-D,0.9500333,0.04996669,0.09993338,0.9500333,1.62048
Tajima-Pi,0.9333777,0.0679547,0.1359094,0.9327115,1.410693
