Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.988004,0.02799067,0.05598134,0.9800067,2.187855
Number Invariant Sites Excluding Ambiguous,0.9416861,0.09763412,0.1952682,0.922026,1.71715
Max Invariant Block Length,0.9983339,0.008997001,0.017994,0.9946684,4.372531
Max Invariant Block Length Excluding Ambiguous,0.8010663,1,1.602133,0.4005332,0
Max Pairwise Difference,0.6457847,0.6354548,1.27091,0.5051649,0
Max Pairwise Difference Excluding Ambiguous,1,0.03632123,0.07264245,0.9818394,1.796931
Max Variable Block Length,0.8217261,0.2002666,0.4005332,0.8107298,0.5336915
Max Variable Block Length Excluding Ambiguous,0.7194269,0.3412196,0.6824392,0.6891036,0.4852349
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.8363879,0.3152283,0.6304565,0.7605798,0.6027301
Number Invariable Block,0.7777408,0.3932023,0.7864045,0.6922692,0.5350528
Number Invariable Block Excluding Ambiguous,0.3128957,0.8600467,0.6257914,0.2264245,0.5360538
Segregating-Sites,0.02799067,0.988004,0.05598134,0.01999334,2.187855
Theta,0.02799067,0.988004,0.05598134,0.01999334,2.187853
Tajima-D,0.8360546,0.1639454,0.3278907,0.8360546,0.9875574
Tajima-Pi,0.5648117,0.4385205,0.877041,0.5631456,0.1631988
