Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7508328,0.4110593,0.8221186,0.6698867,0.4826077
Number Invariant Sites Excluding Ambiguous,0.2744837,0.8221186,0.5489674,0.2261825,0.8543854
Max Invariant Block Length,0.775483,0.9427049,1.550966,0.4163891,0
Max Invariant Block Length Excluding Ambiguous,0.2118588,0.9900067,0.4237175,0.110926,0.7937098
Max Pairwise Difference,0.9726849,0.101932,0.2038641,0.9353764,1.764836
Max Pairwise Difference Excluding Ambiguous,0.9093937,0.2071952,0.4143904,0.8510993,0.8248399
Max Variable Block Length,0.7121919,0.3351099,0.6702199,0.688541,0.5238552
Max Variable Block Length Excluding Ambiguous,0.7681546,0.3364424,0.6728847,0.7158561,0.6596126
Min Pairwise Difference,0.9960027,1,1.992005,0.4980013,0
Min Pairwise Difference Excluding Ambiguous,0.9467022,1,1.893404,0.4733511,0
Number Invariable Block,0.8127915,0.362425,0.7248501,0.7251832,0.5666392
Number Invariable Block Excluding Ambiguous,0.793471,0.3937375,0.787475,0.6998668,0.5248642
Segregating-Sites,0.4110593,0.7508328,0.8221186,0.3301133,0.4826077
Theta,0.4110593,0.7508328,0.8221186,0.3301133,0.4826077
Tajima-D,0.9067288,0.09327115,0.1865423,0.9067288,1.292614
Tajima-Pi,0.8827448,0.1179214,0.2358428,0.8824117,1.131051
