Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7674883,0.3857428,0.7714857,0.6908728,0.485764
Number Invariant Sites Excluding Ambiguous,0.3570953,0.7468354,0.7141905,0.3051299,0.5743331
Max Invariant Block Length,0.7608261,0.9267155,1.521652,0.4170553,0
Max Invariant Block Length Excluding Ambiguous,0.2511659,0.9886742,0.5023318,0.1312458,0.7750524
Max Pairwise Difference,0.9020653,0.2371752,0.4743504,0.832445,1.125116
Max Pairwise Difference Excluding Ambiguous,0.91006,0.2011992,0.4023984,0.8544304,1.211855
Max Variable Block Length,0.6402398,0.4090606,0.8181213,0.6155896,0.2042756
Max Variable Block Length Excluding Ambiguous,0.6662225,0.4470353,0.8940706,0.6095936,0.3025145
Min Pairwise Difference,0.8720853,1,1.744171,0.4360426,0
Min Pairwise Difference Excluding Ambiguous,0.1472352,0.9673551,0.2944704,0.08994004,1.161231
Number Invariable Block,0.8254497,0.3271153,0.6542305,0.7491672,0.5705852
Number Invariable Block Excluding Ambiguous,0.8261159,0.3331113,0.6662225,0.7465023,0.5462829
Segregating-Sites,0.3857428,0.7674883,0.7714857,0.3091272,0.485764
Theta,0.3857428,0.7674883,0.7714857,0.3091272,0.485764
Tajima-D,0.787475,0.2131912,0.4263824,0.7871419,0.7732099
Tajima-Pi,0.7341772,0.2684877,0.5369753,0.7328448,0.5621864
