Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.009993338,1,0.01998668,0.004996669,2.263189
Number Invariant Sites Excluding Ambiguous,0.009993338,1,0.01998668,0.004996669,2.263189
Max Invariant Block Length,0.009993338,1,0.01998668,0.004996669,2.184246
Max Invariant Block Length Excluding Ambiguous,0.009993338,1,0.01998668,0.004996669,2.184246
Max Pairwise Difference,1,0.0006662225,0.001332445,0.9996669,2.785198
Max Pairwise Difference Excluding Ambiguous,1,0.0006662225,0.001332445,0.9996669,2.785198
Max Variable Block Length,1,0.009993338,0.01998668,0.9950033,3.678806
Max Variable Block Length Excluding Ambiguous,1,0.009993338,0.01998668,0.9950033,3.678806
Min Pairwise Difference,0.532978,0.7721519,1.065956,0.3804131,0
Min Pairwise Difference Excluding Ambiguous,0.532978,0.7721519,1.065956,0.3804131,0
Number Invariable Block,0.009993338,1,0.01998668,0.004996669,2.774204
Number Invariable Block Excluding Ambiguous,0.009993338,1,0.01998668,0.004996669,2.774204
Segregating-Sites,1,0.009993338,0.01998668,0.9950033,2.263189
Theta,1,0.009993338,0.01998668,0.9950033,2.263189
Tajima-D,0.6089274,0.3910726,0.7821452,0.6089274,0.2969843
Tajima-Pi,0.9900067,0.01265823,0.02531646,0.9886742,1.945066
