Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.6189207,0.7048634,1.237841,0.4570286,0
Number Invariant Sites Excluding Ambiguous,0.8367755,0.2398401,0.4796802,0.7984677,0.9681629
Max Invariant Block Length,0.9107262,0.7048634,1.409727,0.6029314,0
Max Invariant Block Length Excluding Ambiguous,0.6568954,1,1.313791,0.3284477,0
Max Pairwise Difference,0.9113924,0.2831446,0.5662891,0.8141239,0.6199161
Max Pairwise Difference Excluding Ambiguous,1,0.08461026,0.1692205,0.9576949,1.296398
Max Variable Block Length,0.7048634,0.3417722,0.6835443,0.6815456,1.498271
Max Variable Block Length Excluding Ambiguous,0.1998668,0.8714191,0.3997335,0.1642239,0.9962628
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.2385077,0.9067288,0.4770153,0.1658894,1.176177
Number Invariable Block,0.6489007,0.7048634,1.297801,0.4720187,0
Number Invariable Block Excluding Ambiguous,0.8947368,0.2045303,0.4090606,0.8451033,0.9307494
Segregating-Sites,0.7048634,0.6189207,1.237841,0.5429714,0
Theta,0.7048634,0.6189207,1.237841,0.5429714,0
Tajima-D,0.6355763,0.3670886,0.7341772,0.6342438,0.3211016
Tajima-Pi,0.6489007,0.356429,0.7128581,0.6462358,0.366165
