Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.2824783,1,0.5649567,0.1412392,0.6943698
Number Invariant Sites Excluding Ambiguous,0.003331113,0.9993338,0.006662225,0.001998668,2.350576
Max Invariant Block Length,0.8401066,1,1.680213,0.4200533,0
Max Invariant Block Length Excluding Ambiguous,0.4150566,0.9713524,0.8301133,0.2218521,1.023104
Max Pairwise Difference,0.9993338,0.00799467,0.01598934,0.9956696,2.957342
Max Pairwise Difference Excluding Ambiguous,1,0.02798135,0.05596269,0.9860093,1.554071
Max Variable Block Length,1,0,0,1,3.375388
Max Variable Block Length Excluding Ambiguous,0.9953364,0.1219187,0.2438374,0.9367089,1.58982
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9953364,1,1.990673,0.4976682,0
Number Invariable Block,0.3131246,1,0.6262492,0.1565623,0.777701
Number Invariable Block Excluding Ambiguous,0.00532978,1,0.01065956,0.00266489,2.599422
Segregating-Sites,1,0.2824783,0.5649567,0.8587608,0.6943698
Theta,0.7175217,0.2824783,0.5649567,0.7175217,0.4537692
Tajima-D,0.9960027,0.003997335,0.00799467,0.9960027,2.357069
Tajima-Pi,0.9993338,0.0006662225,0.001332445,0.9993338,2.440598
