Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9473684,0.1998668,0.3997335,0.8737508,1.101302
Number Invariant Sites Excluding Ambiguous,0.8760826,0.4923384,0.9846769,0.6918721,0.8565561
Max Invariant Block Length,0.9513658,0.5463025,1.092605,0.7025316,0
Max Invariant Block Length Excluding Ambiguous,0.9906729,0.5076616,1.015323,0.7415057,0
Max Pairwise Difference,1,0.1165889,0.2331779,0.9417055,1.42518
Max Pairwise Difference Excluding Ambiguous,0.9613591,0.1518987,0.3037975,0.9047302,1.219145
Max Variable Block Length,0.2944704,0.793471,0.5889407,0.2504997,0.5332034
Max Variable Block Length Excluding Ambiguous,0.655563,0.7708195,1.311126,0.4423718,0
Min Pairwise Difference,0.9993338,1,1.998668,0.4996669,0
Min Pairwise Difference Excluding Ambiguous,0.9993338,1,1.998668,0.4996669,0
Number Invariable Block,0.9660227,0.1752165,0.350433,0.8954031,1.210468
Number Invariable Block Excluding Ambiguous,0.6708861,0.9840107,1.341772,0.3434377,0
Segregating-Sites,0.1998668,0.9473684,0.3997335,0.1262492,1.101302
Theta,0.05263158,0.9473684,0.1052632,0.05263158,1.296335
Tajima-D,1,0,0,1,3.56826
Tajima-Pi,1,0,0,1,2.851724
