Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9366878,0.1082972,0.2165945,0.9141953,1.423074
Number Invariant Sites Excluding Ambiguous,0.7970676,0.2775741,0.5551483,0.7597468,0.741757
Max Invariant Block Length,0.9976674,0.01566145,0.03132289,0.991003,4.192385
Max Invariant Block Length Excluding Ambiguous,0.6591136,1,1.318227,0.3295568,0
Max Pairwise Difference,0.8583805,0.2935688,0.5871376,0.7824059,1.06054
Max Pairwise Difference Excluding Ambiguous,1,0.02332556,0.04665112,0.9883372,2.002487
Max Variable Block Length,0.8990337,0.1179607,0.2359214,0.8905365,1.033157
Max Variable Block Length Excluding Ambiguous,0.871043,0.164945,0.32989,0.853049,1.238966
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,1,1,2,0.5,nan
Number Invariable Block,0.5978007,0.5864712,1.172942,0.5056648,0
Number Invariable Block Excluding Ambiguous,0.05698101,0.9826724,0.113962,0.03715428,1.785392
Segregating-Sites,0.1082972,0.9366878,0.2165945,0.08580473,1.423074
Theta,0.1082972,0.9366878,0.2165945,0.08580473,1.423077
Tajima-D,0.9750083,0.02499167,0.04998334,0.9750083,1.874061
Tajima-Pi,0.9180273,0.08197268,0.1639454,0.9180273,1.35746
