Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9267155,0.3251166,0.6502332,0.8007995,1.463059
Number Invariant Sites Excluding Ambiguous,0.2924717,0.847435,0.5849434,0.2225183,0.9124695
Max Invariant Block Length,0.9900067,0.3251166,0.6502332,0.832445,2.02877
Max Invariant Block Length Excluding Ambiguous,0.4357095,0.9920053,0.8714191,0.2218521,1.584674
Max Pairwise Difference,0.9926716,0.08261159,0.1652232,0.95503,1.627361
Max Pairwise Difference Excluding Ambiguous,1,0.07328448,0.146569,0.9633578,1.501708
Max Variable Block Length,0.1532312,0.8647568,0.3064624,0.1442372,1.719491
Max Variable Block Length Excluding Ambiguous,0.8627582,0.1538974,0.3077948,0.8544304,1.272286
Min Pairwise Difference,0.9740173,1,1.948035,0.4870087,0
Min Pairwise Difference Excluding Ambiguous,0.3411059,0.8067955,0.6822119,0.2671552,0.5141541
Number Invariable Block,0.9333777,0.3251166,0.6502332,0.8041306,1.514342
Number Invariable Block Excluding Ambiguous,0.4323784,0.7948035,0.8647568,0.3187875,0.6042236
Segregating-Sites,0.3251166,0.9267155,0.6502332,0.1992005,1.463059
Theta,0.3251166,0.9267155,0.6502332,0.1992005,1.463057
Tajima-D,0.8727515,0.1279147,0.2558294,0.8724184,1.028587
Tajima-Pi,0.8261159,0.1792139,0.3584277,0.823451,0.8808366
