"lek.song.type","lek","segment","obs1","obs2"
"BR1-D1","BR1",18,"d","d"
"BR1-D1","BR1",19,"f","f"
"BR1-D1","BR1",20,"f","f"
"BR1-B1","BR1",1,"p","p"
"BR1-B1","BR1",2,"p","p"
"BR1-B1","BR1",3,"p","p"
"BR1-B1","BR1",4,"p","p"
"BR1-B1","BR1",5,"s","s"
"BR1-B1","BR1",6,"s","s"
"BR1-B1","BR1",7,"s","s"
"BR1-B1","BR1",8,"s","s"
"BR1-B1","BR1",9,"s","s"
"BR1-B1","BR1",10,"s","s"
"BR1-B1","BR1",11,"s","s"
"BR1-B1","BR1",12,"s","s"
"BR1-B1","BR1",13,"s","s"
"BR1-B1","BR1",14,"f","f"
"BR1-B1","BR1",15,"f","f"
"BR1-B1","BR1",16,"f","f"
"BR1-B1","BR1",17,"f","f"
"BR1-B1","BR1",18,"f","f"
"BR1-B1","BR1",19,"d","d"
"BR1-B1","BR1",20,"d","d"
"BR1-B1","BR1",1,"p","p"
"BR1-B1","BR1",2,"p","p"
"BR1-B1","BR1",3,"p","p"
"BR1-B1","BR1",4,"p","p"
"BR1-B1","BR1",5,"s","s"
"BR1-B1","BR1",6,"s","s"
"BR1-B1","BR1",7,"s","s"
"BR1-B1","BR1",8,"s","s"
"BR1-B1","BR1",9,"s","s"
"BR1-B1","BR1",10,"s","s"
"BR1-B1","BR1",11,"s","s"
"BR1-B1","BR1",12,"s","s"
"BR1-B1","BR1",13,"s","s"
"BR1-B1","BR1",14,"f","f"
"BR1-B1","BR1",15,"f","f"
"BR1-B1","BR1",16,"f","f"
"BR1-B1","BR1",17,"f","f"
"BR1-B1","BR1",18,"f","f"
"BR1-B1","BR1",19,"d","d"
"BR1-B1","BR1",20,"d","d"
"BR1-B1","BR1",1,"p","p"
"BR1-B1","BR1",2,"p","p"
"BR1-B1","BR1",3,"p","p"
"BR1-B1","BR1",4,"p","p"
"BR1-B1","BR1",5,"s","s"
"BR1-B1","BR1",6,"s","s"
"BR1-B1","BR1",7,"s","s"
"BR1-B1","BR1",8,"s","s"
"BR1-B1","BR1",9,"s","s"
"BR1-B1","BR1",10,"s","s"
"BR1-B1","BR1",11,"s","s"
"BR1-B1","BR1",12,"s","s"
"BR1-B1","BR1",13,"s","s"
"BR1-B1","BR1",14,"f","f"
"BR1-B1","BR1",15,"f","f"
"BR1-B1","BR1",16,"f","f"
"BR1-B1","BR1",17,"f","f"
"BR1-B1","BR1",18,"d","d"
"BR1-B1","BR1",19,"d","d"
"BR1-B1","BR1",20,"d","d"
"BR1-B1","BR1",1,"p","p"
"BR1-B1","BR1",2,"p","p"
"BR1-B1","BR1",3,"p","p"
"BR1-B1","BR1",4,"p","p"
"BR1-B1","BR1",5,"s","s"
"BR1-B1","BR1",6,"s","s"
"BR1-B1","BR1",7,"s","s"
"BR1-B1","BR1",8,"s","s"
"BR1-B1","BR1",9,"s","s"
"BR1-B1","BR1",10,"s","s"
"BR1-B1","BR1",11,"s","s"
"BR1-B1","BR1",12,"s","s"
"BR1-B1","BR1",13,"s","s"
"BR1-B1","BR1",14,"f","f"
"BR1-B1","BR1",15,"f","f"
"BR1-B1","BR1",16,"f","f"
"BR1-B1","BR1",17,"f","f"
"BR1-B1","BR1",18,"f","f"
"BR1-B1","BR1",19,"d","d"
"BR1-B1","BR1",20,"d","d"
"BR1-C4","BR1",1,"p","p"
"BR1-C4","BR1",2,"p","p"
"BR1-C4","BR1",3,"p","p"
"BR1-C4","BR1",4,"p","p"
"BR1-C4","BR1",5,"p","p"
"BR1-C4","BR1",6,"p","u"
"BR1-C4","BR1",7,"f","f"
"BR1-C4","BR1",8,"f","f"
"BR1-C4","BR1",9,"f","f"
"BR1-C4","BR1",10,"f","f"
"BR1-C4","BR1",11,"f","f"
"BR1-C4","BR1",12,"f","f"
"BR1-C4","BR1",13,"f","f"
"BR1-C4","BR1",14,"f","f"
"BR1-C4","BR1",15,"f","f"
"BR1-C4","BR1",16,"f","f"
"BR1-C4","BR1",17,"d","f"
"BR1-C4","BR1",18,"d","d"
"BR1-C4","BR1",19,"d","d"
"BR1-C4","BR1",20,"d","d"
"BR1-C4","BR1",1,"p","p"
"BR1-C4","BR1",2,"p","p"
"BR1-C4","BR1",3,"p","p"
"BR1-C4","BR1",4,"p","p"
"BR1-C4","BR1",5,"p","p"
"BR1-C4","BR1",6,"p","p"
"BR1-C4","BR1",7,"f","f"
"BR1-C4","BR1",8,"f","f"
"BR1-C4","BR1",9,"f","f"
"BR1-C4","BR1",10,"f","f"
"BR1-C4","BR1",11,"f","f"
"BR1-C4","BR1",12,"f","f"
"BR1-C4","BR1",13,"f","f"
"BR1-C4","BR1",14,"f","f"
"BR1-C4","BR1",15,"f","f"
"BR1-C4","BR1",16,"f","f"
"BR1-C4","BR1",17,"d","d"
"BR1-C4","BR1",18,"d","d"
"BR1-C4","BR1",19,"d","d"
"BR1-C4","BR1",20,"d","d"
"BR1-C4","BR1",1,"p","p"
"BR1-C4","BR1",2,"p","p"
"BR1-C4","BR1",3,"p","p"
"BR1-C4","BR1",4,"p","p"
"BR1-C4","BR1",5,"p","p"
"BR1-C4","BR1",6,"p","p"
"BR1-C4","BR1",7,"f","f"
"BR1-C4","BR1",8,"f","m"
"BR1-C4","BR1",9,"f","m"
"BR1-C4","BR1",10,"f","m"
"BR1-C4","BR1",11,"f","f"
"BR1-C4","BR1",12,"f","f"
"BR1-C4","BR1",13,"f","f"
"BR1-C4","BR1",14,"f","f"
"BR1-C4","BR1",15,"f","f"
"BR1-C4","BR1",16,"f","f"
"BR1-C4","BR1",17,"d","f"
"BR1-C4","BR1",18,"d","d"
"BR1-C4","BR1",19,"d","d"
"BR1-C4","BR1",20,"d","d"
"BR1-C4","BR1",1,"p","p"
"BR1-C4","BR1",2,"p","p"
"BR1-C4","BR1",3,"p","p"
"BR1-C4","BR1",4,"p","p"
"BR1-C4","BR1",5,"p","p"
"BR1-C4","BR1",6,"p","p"
"BR1-C4","BR1",7,"f","f"
"BR1-C4","BR1",8,"f","f"
"BR1-C4","BR1",9,"f","f"
"BR1-C4","BR1",10,"f","f"
"BR1-C4","BR1",11,"f","f"
"BR1-C4","BR1",12,"f","f"
"BR1-C4","BR1",13,"f","f"
"BR1-C4","BR1",14,"f","f"
"BR1-C4","BR1",15,"f","f"
"BR1-C4","BR1",16,"f","f"
"BR1-C4","BR1",17,"d","d"
"BR1-C4","BR1",18,"d","d"
"BR1-C4","BR1",19,"d","d"
"BR1-C4","BR1",20,"d","d"
"BR1-A1","BR1",1,"s","s"
"BR1-A1","BR1",2,"s","s"
"BR1-A1","BR1",3,"s","s"
"BR1-A1","BR1",4,"s","s"
"BR1-A1","BR1",5,"s","s"
"BR1-A1","BR1",6,"f","f"
"BR1-A1","BR1",7,"f","f"
"BR1-A1","BR1",8,"f","f"
"BR1-A1","BR1",9,"f","f"
"BR1-A1","BR1",10,"f","f"
"BR1-A1","BR1",11,"f","f"
"BR1-A1","BR1",12,"d","d"
"BR1-A1","BR1",13,"d","d"
"BR1-A1","BR1",14,"d","d"
"BR1-A1","BR1",15,"d","d"
"BR1-A1","BR1",16,"d","d"
"BR1-A1","BR1",17,"d","d"
"BR1-A1","BR1",18,"d","d"
"BR1-A1","BR1",19,"d","d"
"BR1-A1","BR1",20,"d","d"
"BR1-A1","BR1",1,"s","s"
"BR1-A1","BR1",2,"s","s"
"BR1-A1","BR1",3,"s","s"
"BR1-A1","BR1",4,"s","s"
"BR1-A1","BR1",5,"s","s"
"BR1-A1","BR1",6,"f","f"
"BR1-A1","BR1",7,"f","f"
"BR1-A1","BR1",8,"f","f"
"BR1-A1","BR1",9,"f","f"
"BR1-A1","BR1",10,"f","f"
"BR1-A1","BR1",11,"d","d"
"BR1-A1","BR1",12,"d","d"
"BR1-A1","BR1",13,"d","d"
"BR1-A1","BR1",14,"d","d"
"BR1-A1","BR1",15,"d","d"
"BR1-A1","BR1",16,"d","d"
"BR1-A1","BR1",17,"d","d"
"BR1-A1","BR1",18,"d","d"
"BR1-A1","BR1",19,"d","d"
"BR1-A1","BR1",20,"d","d"
"BR1-A1","BR1",1,"s","s"
"BR1-A1","BR1",2,"s","s"
"BR1-A1","BR1",3,"s","s"
"BR1-A1","BR1",4,"s","s"
"BR1-A1","BR1",5,"s","s"
"BR1-A1","BR1",6,"f","f"
"BR1-A1","BR1",7,"f","f"
"BR1-A1","BR1",8,"f","f"
"BR1-A1","BR1",9,"f","f"
"BR1-A1","BR1",10,"f","f"
"BR1-A1","BR1",11,"d","d"
"BR1-A1","BR1",12,"d","d"
"BR1-A1","BR1",13,"d","d"
"BR1-A1","BR1",14,"d","d"
"BR1-A1","BR1",15,"d","d"
"BR1-A1","BR1",16,"d","d"
"BR1-A1","BR1",17,"d","d"
"BR1-A1","BR1",18,"d","d"
"BR1-A1","BR1",19,"d","d"
"BR1-A1","BR1",20,"d","d"
"BR1-A1","BR1",1,"s","s"
"BR1-A1","BR1",2,"s","s"
"BR1-A1","BR1",3,"s","s"
"BR1-A1","BR1",4,"s","s"
"BR1-A1","BR1",5,"s","s"
"BR1-A1","BR1",6,"f","f"
"BR1-A1","BR1",7,"f","f"
"BR1-A1","BR1",8,"f","f"
"BR1-A1","BR1",9,"f","f"
"BR1-A1","BR1",10,"f","f"
"BR1-A1","BR1",11,"f","f"
"BR1-A1","BR1",12,"d","d"
"BR1-A1","BR1",13,"d","d"
"BR1-A1","BR1",14,"d","d"
"BR1-A1","BR1",15,"d","d"
"BR1-A1","BR1",16,"d","d"
"BR1-A1","BR1",17,"d","d"
"BR1-A1","BR1",18,"d","d"
"BR1-A1","BR1",19,"d","d"
"BR1-A1","BR1",20,"d","d"
"BR1-B2","BR1",1,"p","p"
"BR1-B2","BR1",2,"p","p"
"BR1-B2","BR1",3,"p","p"
"BR1-B2","BR1",4,"p","p"
"BR1-B2","BR1",5,"s","s"
"BR1-B2","BR1",6,"s","s"
"BR1-B2","BR1",7,"s","s"
"BR1-B2","BR1",8,"s","s"
"BR1-B2","BR1",9,"s","s"
"BR1-B2","BR1",10,"s","s"
"BR1-B2","BR1",11,"s","s"
"BR1-B2","BR1",12,"s","s"
"BR1-B2","BR1",13,"f","f"
"BR1-B2","BR1",14,"f","f"
"BR1-B2","BR1",15,"f","f"
"BR1-B2","BR1",16,"f","f"
"BR1-B2","BR1",17,"f","f"
"BR1-B2","BR1",18,"f","f"
"BR1-B2","BR1",19,"d","d"
"BR1-B2","BR1",20,"d","d"
"BR1-B2","BR1",1,"p","p"
"BR1-B2","BR1",2,"p","p"
"BR1-B2","BR1",3,"p","p"
"BR1-B2","BR1",4,"p","p"
"BR1-B2","BR1",5,"s","s"
"BR1-B2","BR1",6,"s","s"
"BR1-B2","BR1",7,"s","s"
"BR1-B2","BR1",8,"s","s"
"BR1-B2","BR1",9,"s","s"
"BR1-B2","BR1",10,"s","s"
"BR1-B2","BR1",11,"s","s"
"BR1-B2","BR1",12,"s","s"
"BR1-B2","BR1",13,"f","f"
"BR1-B2","BR1",14,"f","f"
"BR1-B2","BR1",15,"f","f"
"BR1-B2","BR1",16,"f","f"
"BR1-B2","BR1",17,"f","f"
"BR1-B2","BR1",18,"f","f"
"BR1-B2","BR1",19,"f","f"
"BR1-B2","BR1",20,"d","d"
"BR1-B2","BR1",1,"p","p"
"BR1-B2","BR1",2,"p","p"
"BR1-B2","BR1",3,"p","p"
"BR1-B2","BR1",4,"p","p"
"BR1-B2","BR1",5,"s","s"
"BR1-B2","BR1",6,"s","s"
"BR1-B2","BR1",7,"s","s"
"BR1-B2","BR1",8,"s","s"
"BR1-B2","BR1",9,"s","s"
"BR1-B2","BR1",10,"s","s"
"BR1-B2","BR1",11,"s","s"
"BR1-B2","BR1",12,"s","s"
"BR1-B2","BR1",13,"s","s"
"BR1-B2","BR1",14,"f","f"
"BR1-B2","BR1",15,"f","f"
"BR1-B2","BR1",16,"f","f"
"BR1-B2","BR1",17,"f","f"
"BR1-B2","BR1",18,"f","f"
"BR1-B2","BR1",19,"f","f"
"BR1-B2","BR1",20,"d","d"
"BR1-B2","BR1",1,"p","p"
"BR1-B2","BR1",2,"p","p"
"BR1-B2","BR1",3,"p","p"
"BR1-B2","BR1",4,"p","p"
"BR1-B2","BR1",5,"s","s"
"BR1-B2","BR1",6,"s","s"
"BR1-B2","BR1",7,"s","s"
"BR1-B2","BR1",8,"s","s"
"BR1-B2","BR1",9,"s","s"
"BR1-B2","BR1",10,"s","s"
"BR1-B2","BR1",11,"s","s"
"BR1-B2","BR1",12,"s","s"
"BR1-B2","BR1",13,"s","s"
"BR1-B2","BR1",14,"f","f"
"BR1-B2","BR1",15,"f","f"
"BR1-B2","BR1",16,"f","f"
"BR1-B2","BR1",17,"f","f"
"BR1-B2","BR1",18,"f","f"
"BR1-B2","BR1",19,"f","f"
"BR1-B2","BR1",20,"d","d"
"BR1-C2","BR1",1,"p","p"
"BR1-C2","BR1",2,"p","p"
"BR1-C2","BR1",3,"p","p"
"BR1-C2","BR1",4,"p","p"
"BR1-C2","BR1",5,"p","p"
"BR1-C2","BR1",6,"f","f"
"BR1-C2","BR1",7,"f","f"
"BR1-C2","BR1",8,"f","f"
"BR1-C2","BR1",9,"f","f"
"BR1-C2","BR1",10,"f","f"
"BR1-C2","BR1",11,"f","f"
"BR1-C2","BR1",12,"f","f"
"BR1-C2","BR1",13,"d","d"
"BR1-C2","BR1",14,"d","d"
"BR1-C2","BR1",15,"d","d"
"BR1-C2","BR1",16,"u","u"
"BR1-C2","BR1",17,"d","d"
"BR1-C2","BR1",18,"d","d"
"BR1-C2","BR1",19,"d","d"
"BR1-C2","BR1",20,"d","d"
"BR1-C2","BR1",1,"p","p"
"BR1-C2","BR1",2,"p","p"
"BR1-C2","BR1",3,"p","p"
"BR1-C2","BR1",4,"p","p"
"BR1-C2","BR1",5,"p","p"
"BR1-C2","BR1",6,"p","p"
"BR1-C2","BR1",7,"f","f"
"BR1-C2","BR1",8,"f","f"
"BR1-C2","BR1",9,"f","f"
"BR1-C2","BR1",10,"f","f"
"BR1-C2","BR1",11,"f","f"
"BR1-C2","BR1",12,"f","f"
"BR1-C2","BR1",13,"f","f"
"BR1-C2","BR1",14,"d","d"
"BR1-C2","BR1",15,"d","d"
"BR1-C2","BR1",16,"d","d"
"BR1-C2","BR1",17,"u","u"
"BR1-C2","BR1",18,"d","d"
"BR1-C2","BR1",19,"d","d"
"BR1-C2","BR1",20,"d","d"
"BR1-C2","BR1",1,"p","p"
"BR1-C2","BR1",2,"p","p"
"BR1-C2","BR1",3,"p","p"
"BR1-C2","BR1",4,"p","p"
"BR1-C2","BR1",5,"p","p"
"BR1-C2","BR1",6,"f","f"
"BR1-C2","BR1",7,"f","f"
"BR1-C2","BR1",8,"f","f"
"BR1-C2","BR1",9,"f","f"
"BR1-C2","BR1",10,"f","f"
"BR1-C2","BR1",11,"f","f"
"BR1-C2","BR1",12,"f","f"
"BR1-C2","BR1",13,"f","f"
"BR1-C2","BR1",14,"f","f"
"BR1-C2","BR1",15,"d","d"
"BR1-C2","BR1",16,"u","u"
"BR1-C2","BR1",17,"d","d"
"BR1-C2","BR1",18,"d","d"
"BR1-C2","BR1",19,"d","d"
"BR1-C2","BR1",20,"d","d"
"BR1-C2","BR1",1,"p","p"
"BR1-C2","BR1",2,"p","p"
"BR1-C2","BR1",3,"p","p"
"BR1-C2","BR1",4,"p","p"
"BR1-C2","BR1",5,"p","p"
"BR1-C2","BR1",6,"f","f"
"BR1-C2","BR1",7,"f","f"
"BR1-C2","BR1",8,"f","f"
"BR1-C2","BR1",9,"f","f"
"BR1-C2","BR1",10,"f","f"
"BR1-C2","BR1",11,"f","f"
"BR1-C2","BR1",12,"f","f"
"BR1-C2","BR1",13,"f","f"
"BR1-C2","BR1",14,"f","f"
"BR1-C2","BR1",15,"d","d"
"BR1-C2","BR1",16,"u","u"
"BR1-C2","BR1",17,"u","u"
"BR1-C2","BR1",18,"d","d"
"BR1-C2","BR1",19,"d","d"
"BR1-C2","BR1",20,"d","d"
"BR1-E1","BR1",1,"p","u"
"BR1-E1","BR1",2,"p","u"
"BR1-E1","BR1",3,"p","p"
"BR1-E1","BR1",4,"p","p"
"BR1-E1","BR1",5,"u","f"
"BR1-E1","BR1",6,"d","f"
"BR1-E1","BR1",7,"p","f"
"BR1-E1","BR1",8,"p","f"
"BR1-E1","BR1",9,"f","f"
"BR1-E1","BR1",10,"f","f"
"BR1-E1","BR1",11,"f","f"
"BR1-E1","BR1",12,"f","f"
"BR1-E1","BR1",13,"f","f"
"BR1-E1","BR1",14,"f","f"
"BR1-E1","BR1",15,"d","d"
"BR1-E1","BR1",16,"d","d"
"BR1-E1","BR1",17,"d","d"
"BR1-E1","BR1",18,"d","d"
"BR1-E1","BR1",19,"d","d"
"BR1-E1","BR1",20,"d","d"
"BR1-E1","BR1",1,"p","p"
"BR1-E1","BR1",2,"p","p"
"BR1-E1","BR1",3,"p","p"
"BR1-E1","BR1",4,"p","p"
"BR1-E1","BR1",5,"u","u"
"BR1-E1","BR1",6,"d","d"
"BR1-E1","BR1",7,"p","p"
"BR1-E1","BR1",8,"p","p"
"BR1-E1","BR1",9,"f","f"
"BR1-E1","BR1",10,"f","f"
"BR1-E1","BR1",11,"f","f"
"BR1-E1","BR1",12,"f","f"
"BR1-E1","BR1",13,"f","f"
"BR1-E1","BR1",14,"f","f"
"BR1-E1","BR1",15,"d","d"
"BR1-E1","BR1",16,"d","d"
"BR1-E1","BR1",17,"d","d"
"BR1-E1","BR1",18,"d","d"
"BR1-E1","BR1",19,"d","d"
"BR1-E1","BR1",20,"d","d"
"BR1-E1","BR1",1,"p","p"
"BR1-E1","BR1",2,"p","p"
"BR1-E1","BR1",3,"p","p"
"BR1-E1","BR1",4,"p","p"
"BR1-E1","BR1",5,"u","u"
"BR1-E1","BR1",6,"d","d"
"BR1-E1","BR1",7,"p","p"
"BR1-E1","BR1",8,"p","p"
"BR1-E1","BR1",9,"f","f"
"BR1-E1","BR1",10,"f","f"
"BR1-E1","BR1",11,"f","f"
"BR1-E1","BR1",12,"f","f"
"BR1-E1","BR1",13,"f","f"
"BR1-E1","BR1",14,"f","f"
"BR1-E1","BR1",15,"f","f"
"BR1-E1","BR1",16,"d","d"
"BR1-E1","BR1",17,"d","d"
"BR1-E1","BR1",18,"d","d"
"BR1-E1","BR1",19,"d","d"
"BR1-E1","BR1",20,"d","d"
"BR1-E1","BR1",1,"p","u"
"BR1-E1","BR1",2,"p","u"
"BR1-E1","BR1",3,"p","u"
"BR1-E1","BR1",4,"p","p"
"BR1-E1","BR1",5,"u","f"
"BR1-E1","BR1",6,"d","f"
"BR1-E1","BR1",7,"p","f"
"BR1-E1","BR1",8,"p","p"
"BR1-E1","BR1",9,"f","f"
"BR1-E1","BR1",10,"f","f"
"BR1-E1","BR1",11,"f","f"
"BR1-E1","BR1",12,"f","f"
"BR1-E1","BR1",13,"f","f"
"BR1-E1","BR1",14,"f","f"
"BR1-E1","BR1",15,"d","d"
"BR1-E1","BR1",16,"d","d"
"BR1-E1","BR1",17,"d","d"
"BR1-E1","BR1",18,"d","d"
"BR1-E1","BR1",19,"d","d"
"BR1-E1","BR1",20,"d","d"
"BR1-F1","BR1",1,"u","u"
"BR1-F1","BR1",2,"u","u"
"BR1-F1","BR1",3,"u","u"
"BR1-F1","BR1",4,"m","m"
"BR1-F1","BR1",5,"m","m"
"BR1-F1","BR1",6,"m","m"
"BR1-F1","BR1",7,"m","m"
"BR1-F1","BR1",8,"m","m"
"BR1-F1","BR1",9,"u","u"
"BR1-F1","BR1",10,"u","u"
"BR1-F1","BR1",11,"u","u"
"BR1-F1","BR1",12,"u","u"
"BR1-F1","BR1",13,"u","u"
"BR1-F1","BR1",14,"u","u"
"BR1-F1","BR1",15,"f","f"
"BR1-F1","BR1",16,"f","f"
"BR1-F1","BR1",17,"f","f"
"BR1-F1","BR1",18,"f","f"
"BR1-F1","BR1",19,"d","d"
"BR1-F1","BR1",20,"d","d"
"BR1-F1","BR1",1,"u","u"
"BR1-F1","BR1",2,"u","u"
"BR1-F1","BR1",3,"u","u"
"BR1-F1","BR1",4,"u","u"
"BR1-F1","BR1",5,"d","d"
"BR1-F1","BR1",6,"u","u"
"BR1-F1","BR1",7,"u","u"
"BR1-F1","BR1",8,"d","d"
"BR1-F1","BR1",9,"u","u"
"BR1-F1","BR1",10,"u","u"
"BR1-F1","BR1",11,"u","u"
"BR1-F1","BR1",12,"u","u"
"BR1-F1","BR1",13,"f","f"
"BR1-F1","BR1",14,"f","f"
"BR1-F1","BR1",15,"f","f"
"BR1-F1","BR1",16,"f","f"
"BR1-F1","BR1",17,"d","d"
"BR1-F1","BR1",18,"u","u"
"BR1-F1","BR1",19,"u","u"
"BR1-F1","BR1",20,"u","u"
"BR1-F1","BR1",1,"u","u"
"BR1-F1","BR1",2,"u","u"
"BR1-F1","BR1",3,"u","u"
"BR1-F1","BR1",4,"s","s"
"BR1-F1","BR1",5,"s","s"
"BR1-F1","BR1",6,"s","s"
"BR1-F1","BR1",7,"s","s"
"BR1-F1","BR1",8,"u","u"
"BR1-F1","BR1",9,"u","u"
"BR1-F1","BR1",10,"u","u"
"BR1-F1","BR1",11,"u","u"
"BR1-F1","BR1",12,"u","u"
"BR1-F1","BR1",13,"f","f"
"BR1-F1","BR1",14,"f","f"
"BR1-F1","BR1",15,"f","f"
"BR1-F1","BR1",16,"d","d"
"BR1-F1","BR1",17,"d","d"
