Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.691539,0.4770153,0.9540306,0.6072618,0.4572876
Number Invariant Sites Excluding Ambiguous,0.5016656,0.6775483,1.003331,0.4120586,0
Max Invariant Block Length,0.8947368,0.443038,0.8860759,0.7258494,1.267669
Max Invariant Block Length Excluding Ambiguous,0.8481013,1,1.696203,0.4240506,0
Max Pairwise Difference,0.9813458,0.08394404,0.1678881,0.9487009,1.754414
Max Pairwise Difference Excluding Ambiguous,0.7288474,0.4110593,0.8221186,0.6588941,0.3744155
Max Variable Block Length,0.6462358,0.3917388,0.7834777,0.6272485,0.360079
Max Variable Block Length Excluding Ambiguous,0.9467022,0.08660893,0.1732179,0.9300466,1.821146
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.1325783,0.9693538,0.2651566,0.08161226,1.234716
Number Invariable Block,0.6668887,0.550966,1.101932,0.5579614,0
Number Invariable Block Excluding Ambiguous,0.06928714,0.9906729,0.1385743,0.03930713,1.835009
Segregating-Sites,0.4770153,0.691539,0.9540306,0.3927382,0.4572876
Theta,0.4770153,0.691539,0.9540306,0.3927382,0.4572854
Tajima-D,0.7421719,0.2578281,0.5156562,0.7421719,0.6524636
Tajima-Pi,0.7281812,0.2751499,0.5502998,0.7265157,0.5798293
