Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.763491,0.3910726,0.7821452,0.6862092,0.4724082
Number Invariant Sites Excluding Ambiguous,0.2758161,0.7981346,0.5516322,0.2388408,0.7383151
Max Invariant Block Length,0.7668221,0.9307129,1.533644,0.4180546,0
Max Invariant Block Length Excluding Ambiguous,0.1998668,0.988008,0.3997335,0.1059294,1.297889
Max Pairwise Difference,0.9213857,0.2138574,0.4277149,0.8537642,0.9976373
Max Pairwise Difference Excluding Ambiguous,0.8687542,0.2591606,0.5183211,0.8047968,0.8056027
Max Variable Block Length,0.6662225,0.3844104,0.7688208,0.6409061,0.4077749
Max Variable Block Length Excluding Ambiguous,0.7461692,0.3590939,0.7181879,0.6935376,0.6186191
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.988008,1,1.976016,0.494004,0
Number Invariable Block,0.829447,0.3371086,0.6742172,0.7461692,0.5565639
Number Invariable Block Excluding Ambiguous,0.8081279,0.3717522,0.7435043,0.7181879,0.5186791
Segregating-Sites,0.3910726,0.763491,0.7821452,0.3137908,0.4724082
Theta,0.3910726,0.763491,0.7821452,0.3137908,0.4724083
Tajima-D,0.8994004,0.1005996,0.2011992,0.8994004,1.26048
Tajima-Pi,0.8634244,0.1365756,0.2731512,0.8634244,1.092918
