Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7961359,0.3684211,0.7368421,0.7138574,0.5224292
Number Invariant Sites Excluding Ambiguous,0.4410393,0.6708861,0.8820786,0.3850766,0.271952
Max Invariant Block Length,0.7914724,0.9260493,1.582945,0.4327115,0
Max Invariant Block Length Excluding Ambiguous,0.314457,0.9766822,0.6289141,0.1688874,0.6825307
Max Pairwise Difference,0.8321119,0.3650899,0.7301799,0.733511,0.5730562
Max Pairwise Difference Excluding Ambiguous,0.9180546,0.1785476,0.3570953,0.8697535,1.292374
Max Variable Block Length,0.6209194,0.4323784,0.8647568,0.5942705,0.2071181
Max Variable Block Length Excluding Ambiguous,0.580946,0.520986,1.041972,0.52998,0
Min Pairwise Difference,0.9113924,1,1.822785,0.4556962,0
Min Pairwise Difference Excluding Ambiguous,0.3344437,0.841439,0.6688874,0.2465023,0.4789491
Number Invariable Block,0.8620919,0.3097935,0.6195869,0.7761492,0.6004808
Number Invariable Block Excluding Ambiguous,0.8774151,0.2538308,0.5076616,0.8117921,1.068446
Segregating-Sites,0.3684211,0.7961359,0.7368421,0.2861426,0.5224292
Theta,0.3684211,0.7961359,0.7368421,0.2861426,0.5224292
Tajima-D,0.7441706,0.2558294,0.5116589,0.7441706,0.6455706
Tajima-Pi,0.6788807,0.3291139,0.6582278,0.6748834,0.4514836
