Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.6591136,0.6174608,1.234922,0.5208264,0
Number Invariant Sites Excluding Ambiguous,0.7407531,0.4798401,0.9596801,0.6304565,0.6071989
Max Invariant Block Length,0.9756748,0.1726091,0.3452183,0.9015328,1.660929
Max Invariant Block Length Excluding Ambiguous,0.9183605,0.1692769,0.3385538,0.8745418,1.779902
Max Pairwise Difference,1,0.01366211,0.02732423,0.9931689,1.953282
Max Pairwise Difference Excluding Ambiguous,0.97001,0.1089637,0.2179274,0.9305232,1.133367
Max Variable Block Length,0.8307231,0.2355881,0.4711763,0.7975675,0.8578616
Max Variable Block Length Excluding Ambiguous,0.8243919,0.4878374,0.9756748,0.6682772,0.2171057
Min Pairwise Difference,0.353882,0.8383872,0.7077641,0.2577474,0.5882155
Min Pairwise Difference Excluding Ambiguous,0.302899,0.8393869,0.6057981,0.2317561,0.9354039
Number Invariable Block,0.4165278,0.8877041,0.8330556,0.2644119,0.8244489
Number Invariable Block Excluding Ambiguous,0.3818727,0.9390203,0.7637454,0.2214262,0.9331965
Segregating-Sites,0.6174608,0.6591136,1.234922,0.4791736,0
Theta,0.6174608,0.6591136,1.234922,0.4791736,0
Tajima-D,0.9133622,0.08797068,0.1759414,0.9126958,1.286881
Tajima-Pi,0.9316894,0.0733089,0.1466178,0.9291903,1.220338
