Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7397534,1,1.479507,0.3698767,0
Number Invariant Sites Excluding Ambiguous,0.652116,0.4325225,0.865045,0.6097967,0.2320411
Max Invariant Block Length,0.7397534,1,1.479507,0.3698767,0
Max Invariant Block Length Excluding Ambiguous,0.6487837,0.5788071,1.157614,0.5349883,0
Max Pairwise Difference,1,0.001332889,0.002665778,0.9993336,2.829127
Max Pairwise Difference Excluding Ambiguous,1,0.8883705,1.776741,0.5558147,0
Max Variable Block Length,1,0.7397534,1.479507,0.6301233,0
Max Variable Block Length Excluding Ambiguous,0.9956681,0.008330556,0.01666111,0.9936688,2.765722
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.5298234,1,1.059647,0.2649117,0
Number Invariable Block,0.7397534,1,1.479507,0.3698767,0
Number Invariable Block Excluding Ambiguous,0.04798401,0.9826724,0.09596801,0.03265578,1.804774
Segregating-Sites,1,0.7397534,1.479507,0.6301233,0
Theta,1,0.7397534,1.479507,0.6301233,0
Tajima-D,0.799067,0.2015995,0.4031989,0.7987338,0.8434412
Tajima-Pi,0.8137288,0.1879374,0.3758747,0.8128957,0.8856746
