Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4565145,0.8130623,0.913029,0.3217261,0.672745
Number Invariant Sites Excluding Ambiguous,0.6421193,0.4625125,0.925025,0.5898034,0.2993129
Max Invariant Block Length,0.844052,0.8130623,1.626125,0.5154948,0
Max Invariant Block Length Excluding Ambiguous,0.8953682,0.1292902,0.2585805,0.883039,1.895576
Max Pairwise Difference,1,0.002332556,0.004665112,0.9988337,2.299454
Max Pairwise Difference Excluding Ambiguous,0.9930023,0.02165945,0.04331889,0.9856714,2.14768
Max Variable Block Length,0.2392536,0.8017328,0.4785072,0.2187604,0.8988434
Max Variable Block Length Excluding Ambiguous,0.8347218,0.2042652,0.4085305,0.8152283,0.7718828
Min Pairwise Difference,1,0.3725425,0.745085,0.8137288,2.067986
Min Pairwise Difference Excluding Ambiguous,0.5251583,0.6171276,1.050317,0.4540153,0
Number Invariable Block,0.4868377,0.8130623,0.9736754,0.3368877,0.7908311
Number Invariable Block Excluding Ambiguous,0.1779407,0.955015,0.3558814,0.1114628,1.13915
Segregating-Sites,0.8130623,0.4565145,0.913029,0.6782739,0.672745
Theta,0.8130623,0.4565145,0.913029,0.6782739,0.6727399
Tajima-D,0.8327224,0.1699434,0.3398867,0.8313895,0.8669952
Tajima-Pi,0.9016994,0.107964,0.215928,0.8968677,1.087956
