Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.964024,0.2911392,0.5822785,0.8364424,1.788808
Number Invariant Sites Excluding Ambiguous,0.4816789,1,0.9633578,0.2408394,1.464327
Max Invariant Block Length,0.9960027,0.2911392,0.5822785,0.8524317,2.150813
Max Invariant Block Length Excluding Ambiguous,0.9886742,1,1.977348,0.4943371,0
Max Pairwise Difference,1,0.05129913,0.1025983,0.9743504,2.01428
Max Pairwise Difference Excluding Ambiguous,1,0.06995336,0.1399067,0.9650233,2.046762
Max Variable Block Length,0.254497,0.8814124,0.508994,0.1865423,1.110054
Max Variable Block Length Excluding Ambiguous,1,0.8461026,1.692205,0.5769487,0
Min Pairwise Difference,0.7028648,0.4596935,0.9193871,0.6215856,0.4432543
Min Pairwise Difference Excluding Ambiguous,0.6688874,0.4896736,0.9793471,0.5896069,0.4222843
Number Invariable Block,0.9660227,0.2911392,0.5822785,0.8374417,1.828321
Number Invariable Block Excluding Ambiguous,0.4870087,1,0.9740173,0.2435043,1.504935
Segregating-Sites,0.2911392,0.964024,0.5822785,0.1635576,1.788808
Theta,0.2911392,0.964024,0.5822785,0.1635576,1.788806
Tajima-D,1,0,0,1,3.016198
Tajima-Pi,0.9993338,0.0006662225,0.001332445,0.9993338,2.15579
