Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.2651566,0.8887408,0.5303131,0.1882079,1.025202
Number Invariant Sites Excluding Ambiguous,0.5862758,0.643571,1.172552,0.4713524,0
Max Invariant Block Length,0.5409727,0.9740173,1.081945,0.2834777,0
Max Invariant Block Length Excluding Ambiguous,0.7861426,1,1.572285,0.3930713,0
Max Pairwise Difference,0.6848767,0.5516322,1.103264,0.5666223,0
Max Pairwise Difference Excluding Ambiguous,0.7928048,0.3484344,0.6968688,0.7221852,0.7451829
Max Variable Block Length,0.8687542,0.1772152,0.3544304,0.8457695,0.8128241
Max Variable Block Length Excluding Ambiguous,0.727515,0.3197868,0.6395736,0.7038641,0.8823886
Min Pairwise Difference,0.8434377,0.5249833,1.049967,0.6592272,0
Min Pairwise Difference Excluding Ambiguous,0.4603598,0.7554963,0.9207195,0.3524317,0.4550282
Number Invariable Block,0.3610926,0.8654231,0.7221852,0.2478348,0.6836008
Number Invariable Block Excluding Ambiguous,0.7128581,0.5436376,1.087275,0.5846103,0
Segregating-Sites,0.8887408,0.2651566,0.5303131,0.8117921,1.025202
Theta,0.8887408,0.2651566,0.5303131,0.8117921,1.025198
Tajima-D,0.4956696,0.5063291,0.9913391,0.4946702,0.01973445
Tajima-Pi,0.6662225,0.344437,0.6888741,0.6608927,0.3906687
