Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.3968677,0.8607131,0.7937354,0.2680773,0.6177387
Number Invariant Sites Excluding Ambiguous,0.4478507,0.6827724,0.8957014,0.3825392,0.3313562
Max Invariant Block Length,0.8600467,0.8607131,1.720093,0.4996668,0
Max Invariant Block Length Excluding Ambiguous,0.7617461,0.5971343,1.194269,0.5823059,0
Max Pairwise Difference,0.9913362,0.05598134,0.1119627,0.9676774,2.062159
Max Pairwise Difference Excluding Ambiguous,1,0.05798067,0.1159613,0.9710097,1.769424
Max Variable Block Length,0.5504832,0.4698434,0.9396868,0.5403199,0.07696312
Max Variable Block Length Excluding Ambiguous,0.9510163,0.08797068,0.1759414,0.9315228,1.816799
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,1,1,2,0.5,nan
Number Invariable Block,0.4215262,0.8607131,0.8430523,0.2804065,0.697094
Number Invariable Block Excluding Ambiguous,0.5098301,0.6831056,1.01966,0.4133622,0
Segregating-Sites,0.8607131,0.3968677,0.7937354,0.7319227,0.6177387
Theta,0.8607131,0.3968677,0.7937354,0.7319227,0.6177387
Tajima-D,0.6567811,0.3435521,0.6871043,0.6566145,0.4302384
Tajima-Pi,0.721093,0.2805731,0.5611463,0.7202599,0.6123844
