Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.2382539,0.9013662,0.4765078,0.1684439,0.8551894
Number Invariant Sites Excluding Ambiguous,0.1692769,0.8877041,0.3385538,0.1407864,1.034364
Max Invariant Block Length,0.6321226,0.9773409,1.264245,0.3273909,0
Max Invariant Block Length Excluding Ambiguous,0.7687438,0.3515495,0.703099,0.7085971,0.8790329
Max Pairwise Difference,0.9966678,0.01066311,0.02132622,0.9930023,2.674726
Max Pairwise Difference Excluding Ambiguous,0.9276908,0.1876041,0.3752083,0.8700433,0.8371836
Max Variable Block Length,0.9650117,0.04065312,0.08130623,0.9621793,2.130269
Max Variable Block Length Excluding Ambiguous,0.9883372,0.02432522,0.04865045,0.982006,2.699987
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9996668,1,1.999334,0.4998334,0
Number Invariable Block,0.278907,0.8910363,0.5578141,0.1939354,1.062591
Number Invariable Block Excluding Ambiguous,0.09030323,0.9756748,0.1806065,0.05731423,1.441311
Segregating-Sites,0.9013662,0.2382539,0.4765078,0.8315561,0.8551894
Theta,0.9013662,0.2382539,0.4765078,0.8315561,0.8551892
Tajima-D,0.9593469,0.04065312,0.08130623,0.9593469,1.854795
Tajima-Pi,0.979007,0.020993,0.041986,0.979007,2.168005
