Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.6007997,1,1.201599,0.3003999,0
Number Invariant Sites Excluding Ambiguous,0.5094968,0.5751416,1.018994,0.4671776,0
Max Invariant Block Length,0.6007997,1,1.201599,0.3003999,0
Max Invariant Block Length Excluding Ambiguous,0.5991336,0.6181273,1.198267,0.4905032,0
Max Pairwise Difference,1,0.0003332223,0.0006664445,0.9998334,3.936449
Max Pairwise Difference Excluding Ambiguous,1,0.8233922,1.646784,0.5883039,0
Max Variable Block Length,1,0.6007997,1.201599,0.6996001,0
Max Variable Block Length Excluding Ambiguous,0.9980007,0.004331889,0.008663779,0.9968344,3.480789
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,1,1,2,0.5,nan
Number Invariable Block,0.6007997,1,1.201599,0.3003999,0
Number Invariable Block Excluding Ambiguous,0.032989,0.9913362,0.06597801,0.02082639,2.266314
Segregating-Sites,1,0.6007997,1.201599,0.6996001,0
Theta,1,0.6007997,1.201599,0.6996001,0
Tajima-D,0.9613462,0.03865378,0.07730756,0.9613462,1.848266
Tajima-Pi,0.9663446,0.03365545,0.0673109,0.9663446,1.914669
