Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.5734755,0.6784405,1.146951,0.4475175,0
Number Invariant Sites Excluding Ambiguous,0.7427524,0.3982006,0.7964012,0.6722759,0.4070133
Max Invariant Block Length,0.9776741,0.1969344,0.3938687,0.8903699,1.672023
Max Invariant Block Length Excluding Ambiguous,0.9276908,0.1332889,0.2665778,0.8972009,1.39878
Max Pairwise Difference,1,0.003332223,0.006664445,0.9983339,2.438994
Max Pairwise Difference Excluding Ambiguous,0.9843386,0.05264912,0.1052982,0.9658447,1.968833
Max Variable Block Length,0.8673775,0.1622792,0.3245585,0.8525492,1.33439
Max Variable Block Length Excluding Ambiguous,0.8703765,0.2182606,0.4365212,0.826058,1.508732
Min Pairwise Difference,0.9993336,1,1.998667,0.4996668,0
Min Pairwise Difference Excluding Ambiguous,0.9986671,1,1.997334,0.4993336,0
Number Invariable Block,0.347884,0.9000333,0.6957681,0.2239254,0.7007821
Number Invariable Block Excluding Ambiguous,0.1849384,0.9600133,0.3698767,0.1124625,1.348949
Segregating-Sites,0.6784405,0.5734755,1.146951,0.5524825,0
Theta,0.6784405,0.5734755,1.146951,0.5524825,0
Tajima-D,0.9053649,0.09463512,0.1892702,0.9053649,1.289475
Tajima-Pi,0.8987004,0.1012996,0.2025991,0.8987004,1.241229
