Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9380413,0.1572285,0.314457,0.8904064,1.638841
Number Invariant Sites Excluding Ambiguous,0.1558961,0.9180546,0.3117921,0.1189207,1.303943
Max Invariant Block Length,0.9966689,0.05596269,0.1119254,0.9703531,1.840878
Max Invariant Block Length Excluding Ambiguous,0.7914724,0.4863424,0.9726849,0.652565,0.9768383
Max Pairwise Difference,0.9980013,0.007328448,0.0146569,0.9953364,2.8916
Max Pairwise Difference Excluding Ambiguous,1,0.02931379,0.05862758,0.9853431,1.668104
Max Variable Block Length,0.4050633,0.6782145,0.8101266,0.3634244,0.6315322
Max Variable Block Length Excluding Ambiguous,0.9353764,0.08927382,0.1785476,0.9230513,1.824674
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.7721519,0.3584277,0.7168554,0.7068621,0.4440335
Number Invariable Block,0.8587608,0.3637575,0.727515,0.7475017,0.8714113
Number Invariable Block Excluding Ambiguous,0.1265823,0.9566955,0.2531646,0.08494337,1.661835
Segregating-Sites,0.1572285,0.9380413,0.314457,0.1095936,1.638841
Theta,0.1572285,0.9380413,0.314457,0.1095936,1.638846
Tajima-D,0.9886742,0.01132578,0.02265157,0.9886742,2.242869
Tajima-Pi,0.9720187,0.0326449,0.06528981,0.9696869,1.803141
