Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.8700866,0.4197202,0.8394404,0.7251832,1.241565
Number Invariant Sites Excluding Ambiguous,0.2791472,0.8680879,0.5582945,0.2055296,0.8949515
Max Invariant Block Length,0.988008,0.4197202,0.8394404,0.7841439,1.926284
Max Invariant Block Length Excluding Ambiguous,0.4477015,0.9920053,0.8954031,0.2278481,1.512693
Max Pairwise Difference,0.9953364,0.05529647,0.1105929,0.97002,1.631164
Max Pairwise Difference Excluding Ambiguous,1,0.0326449,0.06528981,0.9836775,2.01361
Max Variable Block Length,0.2318454,0.8067955,0.4636909,0.212525,1.536797
Max Variable Block Length Excluding Ambiguous,0.8860759,0.1325783,0.2651566,0.8767488,1.400053
Min Pairwise Difference,0.9773484,1,1.954697,0.4886742,0
Min Pairwise Difference Excluding Ambiguous,0.1259161,0.946036,0.2518321,0.08994004,1.654923
Number Invariable Block,0.8767488,0.4197202,0.8394404,0.7285143,1.281185
Number Invariable Block Excluding Ambiguous,0.3997335,0.8267821,0.799467,0.2864757,0.5711001
Segregating-Sites,0.4197202,0.8700866,0.8394404,0.2748168,1.241565
Theta,0.4197202,0.8700866,0.8394404,0.2748168,1.241563
Tajima-D,0.8214524,0.1798801,0.3597602,0.8207861,0.8562606
Tajima-Pi,0.7868088,0.2165223,0.4330446,0.7851432,0.7335377
