Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.6422385,0.5909394,1.181879,0.5256496,0
Number Invariant Sites Excluding Ambiguous,0.01332445,0.9926716,0.0266489,0.01032645,2.108699
Max Invariant Block Length,0.8847435,0.8481013,1.696203,0.5183211,0
Max Invariant Block Length Excluding Ambiguous,0.4390406,0.9526982,0.8780813,0.2431712,0.7863994
Max Pairwise Difference,0.9986676,0.003997335,0.00799467,0.9973351,2.724101
Max Pairwise Difference Excluding Ambiguous,1,0.06595603,0.1319121,0.967022,1.693046
Max Variable Block Length,0.5223185,0.5409727,1.044637,0.4906729,0
Max Variable Block Length Excluding Ambiguous,0.9900067,0.01998668,0.03997335,0.98501,2.800251
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9986676,1,1.997335,0.4993338,0
Number Invariable Block,0.6688874,0.5722851,1.14457,0.5483011,0
Number Invariable Block Excluding Ambiguous,0.06262492,0.9766822,0.1252498,0.04297135,1.827695
Segregating-Sites,0.5909394,0.6422385,1.181879,0.4743504,0
Theta,0.3577615,0.6422385,0.715523,0.3577615,0.2476935
Tajima-D,0.9933378,0.006662225,0.01332445,0.9933378,2.50709
Tajima-Pi,0.988008,0.01199201,0.02398401,0.988008,2.312434
