Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7490836,1,1.498167,0.3745418,0
Number Invariant Sites Excluding Ambiguous,0.3245585,0.8673775,0.649117,0.2285905,0.5274437
Max Invariant Block Length,0.7490836,1,1.498167,0.3745418,0
Max Invariant Block Length Excluding Ambiguous,0.994002,0.1226258,0.2452516,0.9356881,2.76042
Max Pairwise Difference,1,0.007997334,0.01599467,0.9960013,2.400897
Max Pairwise Difference Excluding Ambiguous,1,0.8163945,1.632789,0.5918027,0
Max Variable Block Length,1,0.7490836,1.498167,0.6254582,0
Max Variable Block Length Excluding Ambiguous,1,0.443852,0.8877041,0.778074,0.4153761
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.6964345,1,1.392869,0.3482173,0
Number Invariable Block,0.7490836,1,1.498167,0.3745418,0
Number Invariable Block Excluding Ambiguous,0.1789404,0.9656781,0.3578807,0.1066311,1.324765
Segregating-Sites,1,0.7490836,1.498167,0.6254582,0
Theta,1,0.7490836,1.498167,0.6254582,0
Tajima-D,0.4678441,0.5334888,0.9356881,0.4671776,0.08707644
Tajima-Pi,0.4948351,0.5068311,0.9896701,0.494002,0.01128168
