Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.928048,0.2451699,0.4903398,0.841439,1.020816
Number Invariant Sites Excluding Ambiguous,0.8660893,0.5502998,1.1006,0.6578947,0
Max Invariant Block Length,0.9320453,0.6129247,1.225849,0.6595603,0
Max Invariant Block Length Excluding Ambiguous,0.9900067,0.5709527,1.141905,0.709527,0
Max Pairwise Difference,1,0.07594937,0.1518987,0.9620253,1.59165
Max Pairwise Difference Excluding Ambiguous,0.9746835,0.1279147,0.2558294,0.9233844,1.312316
Max Variable Block Length,0.3557628,0.7475017,0.7115256,0.3041306,0.5254407
Max Variable Block Length Excluding Ambiguous,0.6888741,0.7468354,1.377748,0.4710193,0
Min Pairwise Difference,0.9853431,1,1.970686,0.4926716,0
Min Pairwise Difference Excluding Ambiguous,0.9840107,1,1.968021,0.4920053,0
Number Invariable Block,0.9593604,0.2165223,0.4330446,0.8714191,1.1555
Number Invariable Block Excluding Ambiguous,0.6502332,0.9953364,1.300466,0.3274484,0
Segregating-Sites,0.2451699,0.928048,0.4903398,0.158561,1.020816
Theta,0.07195203,0.928048,0.1439041,0.07195203,1.201596
Tajima-D,1,0,0,1,4.063909
Tajima-Pi,1,0,0,1,3.29992
