Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4530313,0.8407728,0.9060626,0.3061292,0.7243405
Number Invariant Sites Excluding Ambiguous,0.8840773,0.2804797,0.5609594,0.8017988,0.721373
Max Invariant Block Length,0.8520986,0.8407728,1.681546,0.5056629,0
Max Invariant Block Length Excluding Ambiguous,0.7328448,1,1.46569,0.3664224,0
Max Pairwise Difference,0.9307129,0.2331779,0.4663558,0.8487675,0.671942
Max Pairwise Difference Excluding Ambiguous,0.9120586,0.2298468,0.4596935,0.8411059,1.217598
Max Variable Block Length,0.7568288,0.3151233,0.6302465,0.7208528,1.333193
Max Variable Block Length Excluding Ambiguous,0.4270486,0.7701532,0.8540973,0.3284477,0.4219587
Min Pairwise Difference,0.4796802,0.7648235,0.9593604,0.3574284,0.5514909
Min Pairwise Difference Excluding Ambiguous,0.4297135,0.7848101,0.859427,0.3224517,0.4618836
Number Invariable Block,0.4883411,0.8407728,0.9766822,0.3237841,0.8407401
Number Invariable Block Excluding Ambiguous,0.8307795,0.4930047,0.9860093,0.6688874,1.095496
Segregating-Sites,0.8407728,0.4530313,0.9060626,0.6938708,0.7243405
Theta,0.8407728,0.4530313,0.9060626,0.6938708,0.7243413
Tajima-D,0.5816123,0.4183877,0.8367755,0.5816123,0.2044025
Tajima-Pi,0.6908728,0.3157895,0.6315789,0.6875416,0.4418274
