Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.3457695,0.829447,0.691539,0.2581612,0.4707435
Number Invariant Sites Excluding Ambiguous,0.5536309,0.5582945,1.107262,0.4976682,0
Max Invariant Block Length,0.4750167,0.9886742,0.9500333,0.2431712,1.218267
Max Invariant Block Length Excluding Ambiguous,0.7375083,0.4197202,0.8394404,0.6588941,0.3026727
Max Pairwise Difference,0.9906729,0.03064624,0.06129247,0.9800133,2.096668
Max Pairwise Difference Excluding Ambiguous,0.6528981,0.5562958,1.112592,0.5483011,0
Max Variable Block Length,0.691539,0.3964024,0.7928048,0.6475683,0.1723488
Max Variable Block Length Excluding Ambiguous,0.9560293,0.1112592,0.2225183,0.9223851,1.57635
Min Pairwise Difference,0.9933378,1,1.986676,0.4966689,0
Min Pairwise Difference Excluding Ambiguous,0.8600933,1,1.720187,0.4300466,0
Number Invariable Block,0.4983344,0.7461692,0.9966689,0.3760826,0.5967617
Number Invariable Block Excluding Ambiguous,0.3364424,0.8454364,0.6728847,0.245503,0.5834912
Segregating-Sites,0.829447,0.3457695,0.691539,0.7418388,0.4707435
Theta,0.829447,0.3457695,0.691539,0.7418388,0.4707447
Tajima-D,0.8734177,0.1265823,0.2531646,0.8734177,1.163254
Tajima-Pi,0.8900733,0.1125916,0.2251832,0.8887408,1.250666
